Object Type:,,User Code:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,Other name(s),IGSN,Parent IGSN,Release Date,Material,Sample Description,Purpose,Collector/Chief Scientist,Collection date,Collection method description,Field program/cruise,Latitude (Coordinate system: WGS 84),Longitude (Coordinate system: WGS 84),Navigation type,Location description,Country,Elevation start,Elevation unit,Depth in core (min),Depth in core (max),Depth scale,Primary physiographic feature,Release Date,Current archive,Current archive contact,Related URL,Related URL Type,Related URL Description,biome,siteID,sampleProcessing
BE201907092COP1020,2COPA1020,IEBWE00A7,IEBWE009V,2021-04-21,Soil,Section of core collected in-between heated plot 2H and unheated control plot 2C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91222,-120.66122,GPS,Temperate mixed conifer forest,United States,1370,meter,0.1,0.2,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450975,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907092COP2030,2COPA2030,IEBWE00A8,IEBWE009V,2021-04-21,Soil,Section of core collected in-between heated plot 2H and unheated control plot 2C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91222,-120.66122,GPS,Temperate mixed conifer forest,United States,1370,meter,0.2,0.3,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450976,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907092COP3040,2COPA3040,IEBWE00A9,IEBWE009V,2021-04-21,Soil,Section of core collected in-between heated plot 2H and unheated control plot 2C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91222,-120.66122,GPS,Temperate mixed conifer forest,United States,1370,meter,0.3,0.4,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450977,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907092COP4050,2COPA4050,IEBWE00AA,IEBWE009V,2021-04-21,Soil,Section of core collected in-between heated plot 2H and unheated control plot 2C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91222,-120.66122,GPS,Temperate mixed conifer forest,United States,1370,meter,0.4,0.5,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450978,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907092COP5060,2COPA5060,IEBWE00AB,IEBWE009V,2021-04-21,Soil,Section of core collected in-between heated plot 2H and unheated control plot 2C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91222,-120.66122,GPS,Temperate mixed conifer forest,United States,1370,meter,0.5,0.6,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450979,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907092COP6070,2COPA6070,IEBWE00AC,IEBWE009V,2021-04-21,Soil,Section of core collected in-between heated plot 2H and unheated control plot 2C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91222,-120.66122,GPS,Temperate mixed conifer forest,United States,1370,meter,0.6,0.7,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450980,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907092COP7080,2COPA7080,IEBWE00AD,IEBWE009V,2021-04-21,Soil,Section of core collected in-between heated plot 2H and unheated control plot 2C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91222,-120.66122,GPS,Temperate mixed conifer forest,United States,1370,meter,0.7,0.8,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450981,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907092COP8090,2COPA8090,IEBWE00AE,IEBWE009V,2021-04-21,Soil,Section of core collected in-between heated plot 2H and unheated control plot 2C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91222,-120.66122,GPS,Temperate mixed conifer forest,United States,1370,meter,0.8,0.9,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450982,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907093COP0010,3COPA0010,IEBWE00AF,IEBWE009W,2021-04-21,Soil,Section of core collected in-between heated plot 3H and unheated control plot 3C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91203,-120.6612,GPS,Temperate mixed conifer forest,United States,1370,meter,0,0.1,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450983,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907093COP1020,3COPA1020,IEBWE00AG,IEBWE009W,2021-04-21,Soil,Section of core collected in-between heated plot 3H and unheated control plot 3C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91203,-120.6612,GPS,Temperate mixed conifer forest,United States,1370,meter,0.1,0.2,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450984,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907093COP2030,3COPA2030,IEBWE00AH,IEBWE009W,2021-04-21,Soil,Section of core collected in-between heated plot 3H and unheated control plot 3C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91203,-120.6612,GPS,Temperate mixed conifer forest,United States,1370,meter,0.2,0.3,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450985,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907093COP3040,3COPA3040,IEBWE00AI,IEBWE009W,2021-04-21,Soil,Section of core collected in-between heated plot 3H and unheated control plot 3C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91203,-120.6612,GPS,Temperate mixed conifer forest,United States,1370,meter,0.3,0.4,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450986,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907093COP4050,3COPA4050,IEBWE00AJ,IEBWE009W,2021-04-21,Soil,Section of core collected in-between heated plot 3H and unheated control plot 3C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91203,-120.6612,GPS,Temperate mixed conifer forest,United States,1370,meter,0.4,0.5,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450987,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907093COP5060,3COPA5060,IEBWE00AK,IEBWE009W,2021-04-21,Soil,Section of core collected in-between heated plot 3H and unheated control plot 3C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91203,-120.6612,GPS,Temperate mixed conifer forest,United States,1370,meter,0.5,0.6,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450988,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907093COP6070,3COPA6070,IEBWE00AL,IEBWE009W,2021-04-21,Soil,Section of core collected in-between heated plot 3H and unheated control plot 3C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91203,-120.6612,GPS,Temperate mixed conifer forest,United States,1370,meter,0.6,0.7,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450989,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907093COP7080,3COPA7080,IEBWE00AM,IEBWE009W,2021-04-21,Soil,Section of core collected in-between heated plot 3H and unheated control plot 3C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91203,-120.6612,GPS,Temperate mixed conifer forest,United States,1370,meter,0.7,0.8,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450990,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907093COP8090,3COPA8090,IEBWE00AN,IEBWE009W,2021-04-21,Soil,Section of core collected in-between heated plot 3H and unheated control plot 3C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91203,-120.6612,GPS,Temperate mixed conifer forest,United States,1370,meter,0.8,0.9,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450991,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
