"Figure 3a., subsurface CO2 concentrations versus time",,,,
,,,,
,,"CO2,  %",,
1/16/15,,,,
1/17/15,,,,
1/18/15,,,,
1/19/15,,,,
1/20/15,,,,
1/21/15,,,,
1/22/15,,,,
1/23/15,,,,
1/24/15,,,,
1/25/15,,,,
1/26/15,,,,
1/27/15,,,,
1/28/15,,,,
1/29/15,,,,
1/30/15,,,,
1/31/15,,,,
2/1/15,,,,
2/2/15,,,,
2/3/15,,,,
2/4/15,,,,
2/5/15,,,,
2/6/15,,,,
2/7/15,,,,
2/8/15,,,,
2/9/15,,,,
2/10/15,,,,
2/11/15,,,,
2/12/15,,,,
2/13/15,,,,
2/14/15,,,,
2/15/15,,,,
2/16/15,,,,
2/17/15,,,,
2/18/15,,,,
2/19/15,,,,
2/20/15,,,,
2/21/15,,,,
2/22/15,,,,
2/23/15,,,,
2/24/15,,,,
2/25/15,,,,
2/26/15,,,,
2/27/15,,,,
2/28/15,,,,
3/1/15,,,,
3/2/15,,,,
3/3/15,,,,
3/4/15,,,,
3/5/15,,,,
3/6/15,,,,
3/7/15,,,,
3/8/15,,,,
3/9/15,,,,
3/10/15,,,,
3/11/15,,,,
3/12/15,,,,
3/13/15,,,,
3/14/15,,1.58,1.92,3.27
3/15/15,,0.18,0.30,1.89
3/16/15,,1.08,2.53,2.23
3/17/15,,0.22,0.40,0.64
3/18/15,,1.10,1.56,3.21
3/19/15,,,,
3/20/15,,,,
3/21/15,,,,
3/22/15,,,,
3/23/15,,,,
3/24/15,,,,
3/25/15,,,,
3/26/15,,,,
3/27/15,,,,
3/28/15,,,,
3/29/15,,,,
3/30/15,,,,
3/31/15,,,,
4/1/15,,,,
4/2/15,,,,
4/3/15,,,,
4/4/15,,,,
4/5/15,,,,
4/6/15,,,,
4/7/15,,,,
4/8/15,,,,
4/9/15,,,,
4/10/15,,,,
4/11/15,,,,
4/12/15,,,,
4/13/15,,,,
4/14/15,,,,
4/15/15,,,,
4/16/15,,,,
4/17/15,,,,
4/18/15,,,,
4/19/15,,,,
4/20/15,,,,
4/21/15,,,,
4/22/15,,,,
4/23/15,,,,
4/24/15,,,,
4/25/15,,,,
4/26/15,,,,
4/27/15,,,,
4/28/15,,,,
4/29/15,,,,
4/30/15,,,,
5/1/15,,,,
5/2/15,,,,
5/3/15,,,,
5/4/15,,,,
5/5/15,,,,
5/6/15,,,,
5/7/15,,,,
5/8/15,,,,
5/9/15,,,,
5/10/15,,,,
5/11/15,,,,
5/12/15,,,,
5/13/15,,,,
5/14/15,,,,
5/15/15,,2.36,2.93,5.10
5/16/15,,0.38,0.74,
5/17/15,,2.45,3.80,1.08
5/18/15,,1.32,1.96,1.87
5/19/15,,2.97,4.22,5.86
5/20/15,,,,
5/21/15,,,,
5/22/15,,,,
5/23/15,,,,
5/24/15,,,,
5/25/15,,,,
5/26/15,,,,
5/27/15,,,,
5/28/15,,,,
5/29/15,,,,
5/30/15,,,,
5/31/15,,,,
6/1/15,,,,
6/2/15,,,,
6/3/15,,,,
6/4/15,,,,
6/5/15,,,,
6/6/15,,,,
6/7/15,,,,
6/8/15,,,,
6/9/15,,,,
6/10/15,,,,
6/11/15,,,,
6/12/15,,,,
6/13/15,,,,
6/14/15,,,,
6/15/15,,,,
6/16/15,,,,
6/17/15,,,,
6/18/15,,,,
6/19/15,,,,
6/20/15,,,,
6/21/15,,,,
6/22/15,,,,
6/23/15,,,,
6/24/15,,,,
6/25/15,,,,
6/26/15,,,,
6/27/15,,,,
6/28/15,,,,
6/29/15,,,,
6/30/15,,,,
7/1/15,,1.59,4.67,6.54
7/2/15,,0.14,0.86,
7/3/15,,0.61,3.60,
7/4/15,,0.07,0.49,
7/6/15,,1.25,4.12,
7/7/15,,,,
7/8/15,,,,
7/9/15,,,,
7/10/15,,,,
7/11/15,,,,
7/12/15,,,,
7/13/15,,,,
7/14/15,,,,
7/15/15,,,,
7/16/15,,,,
7/17/15,,,,
7/18/15,,,,
7/19/15,,,,
7/20/15,,,,
7/21/15,,,,
7/22/15,,,,
7/23/15,,,,
7/24/15,,,,
7/25/15,,,,
7/26/15,,,,
7/27/15,,,,
7/28/15,,,,
7/29/15,,,,
7/30/15,,,,
7/31/15,,1.60,5.03,5.71
8/1/15,,0.33,0.49,2.64
8/2/15,,1.01,3.91,5.37
8/3/15,,0.21,0.59,2.42
8/4/15,,1.11,3.60,7.16
8/5/15,,,,
8/6/15,,,,
8/7/15,,,,
8/8/15,,,,
8/9/15,,,,
8/10/15,,,,
8/11/15,,,,
8/12/15,,,,
8/13/15,,,,
8/14/15,,,,
8/15/15,,,,
8/16/15,,,,
8/17/15,,,,
8/18/15,,1.86,5.03,9.24
8/19/15,,0.30,0.49,3.45
8/20/15,,1.02,4.29,4.90
8/21/15,,0.30,1.38,4.39
8/22/15,,1.25,4.29,8.76
8/23/15,,,,
8/24/15,,,,
8/25/15,,,,
8/26/15,,,,
8/27/15,,,,
8/28/15,,,,
8/29/15,,,,
8/30/15,,,,
8/31/15,,,,
9/1/15,,,,
9/2/15,,,,
9/3/15,,2.19,4.19,8.60
9/4/15,,0.36,0.65,4.55
9/5/15,,1.24,3.94,5.72
9/6/15,,0.35,1.35,3.53
9/7/15,,1.12,3.50,8.93
9/8/15,,,,
9/9/15,,,,
9/9/15,,,,
9/10/15,,,,
9/11/15,,,,
9/12/15,,,,
9/13/15,,,,
9/14/15,,,,
9/15/15,,,,
9/16/15,,,,
9/17/15,,,,
9/18/15,,,,
9/19/15,,,,
9/20/15,,,,
9/21/15,,,,
9/22/15,,,,
9/23/15,,,,
9/24/15,,3.20,5.91,9.41
9/25/15,,0.52,0.84,4.09
9/26/15,,1.41,3.96,5.78
9/27/15,,0.38,1.09,5.15
9/28/15,,0.90,3.15,9.96
