Date,DOY,Snow Water Equivalent (mm) Start of Day Values,Median Snow Water Equivalent (1981-2010) (mm) Start of Day Values,Precipitation Accumulation (mm) Start of Day Values,Average Precipitation Accumulation (1981-2010) (mm) Start of Day Values,
7/7/2016,7/7,0,0,536,534,
7/8/2016,7/8,0,0,536,535,
7/9/2016,7/9,0,0,536,539,
7/10/2016,7/10,0,0,536,541,
7/11/2016,7/11,0,0,536,543,
7/12/2016,7/12,0,0,536,544,
7/13/2016,7/13,0,0,536,546,
7/14/2016,7/14,0,0,536,547,
7/15/2016,7/15,0,0,536,547,
7/16/2016,7/16,0,0,536,549,
7/17/2016,7/17,0,0,536,552,
7/18/2016,7/18,0,0,536,552,
7/19/2016,7/19,0,0,538,553,
7/20/2016,7/20,0,0,544,555,
7/21/2016,7/21,0,0,551,556,
7/22/2016,7/22,0,0,574,558,
7/23/2016,7/23,0,0,574,559,
7/24/2016,7/24,0,0,574,563,
7/25/2016,7/25,0,0,574,566,
7/26/2016,7/26,0,0,574,569,
7/27/2016,7/27,0,0,574,571,
7/28/2016,7/28,0,0,574,573,
7/29/2016,7/29,0,0,574,574,
7/30/2016,7/30,0,0,574,576,
7/31/2016,7/31,0,0,574,576,
8/1/2016,8/1,0,0,577,579,
8/2/2016,8/2,0,0,577,581,
8/3/2016,8/3,0,0,577,582,
8/4/2016,8/4,0,0,579,583,
8/5/2016,8/5,0,0,605,585,
8/6/2016,8/6,0,0,615,586,
8/7/2016,8/7,0,0,615,589,
8/8/2016,8/8,0,0,615,590,
8/9/2016,8/9,0,0,617,591,
8/10/2016,8/10,0,0,617,592,
8/11/2016,8/11,0,0,620,593,
8/12/2016,8/12,0,0,620,595,
8/13/2016,8/13,0,0,620,597,
8/14/2016,8/14,0,0,620,598,
8/15/2016,8/15,0,0,620,601,
8/16/2016,8/16,0,0,620,602,
8/17/2016,8/17,0,0,620,604,
8/18/2016,8/18,0,0,627,605,
8/19/2016,8/19,0,0,627,605,
8/20/2016,8/20,0,0,627,607,
8/21/2016,8/21,0,0,627,609,
8/22/2016,8/22,0,0,627,611,
8/23/2016,8/23,0,0,638,614,
8/24/2016,8/24,0,0,655,615,
8/25/2016,8/25,0,0,655,617,
8/26/2016,8/26,0,0,660,618,
8/27/2016,8/27,0,0,660,621,
8/28/2016,8/28,0,0,660,621,
8/29/2016,8/29,0,0,660,622,
8/30/2016,8/30,0,0,660,623,
8/31/2016,8/31,0,0,660,623,
9/1/2016,9/1,0,0,660,624,
9/2/2016,9/2,0,0,660,626,
9/3/2016,9/3,0,0,663,626,
9/4/2016,9/4,0,0,671,626,
9/5/2016,9/5,0,0,671,627,
9/6/2016,9/6,0,0,671,628,
9/7/2016,9/7,0,0,671,629,
9/8/2016,9/8,0,0,671,632,
9/9/2016,9/9,0,0,671,633,
9/10/2016,9/10,0,0,671,637,
9/11/2016,9/11,0,0,671,639,
9/12/2016,9/12,0,0,673,641,
9/13/2016,9/13,0,0,673,644,
9/14/2016,9/14,0,0,676,646,
9/15/2016,9/15,0,0,676,648,
9/16/2016,9/16,0,0,676,649,
9/17/2016,9/17,0,0,678,651,
9/18/2016,9/18,0,0,678,653,
9/19/2016,9/19,0,0,678,654,
9/20/2016,9/20,0,0,678,657,
9/21/2016,9/21,0,0,678,659,
9/22/2016,9/22,0,0,678,661,
9/23/2016,9/23,0,0,678,664,
9/24/2016,9/24,0,0,688,665,
9/25/2016,9/25,0,0,693,666,
9/26/2016,9/26,0,0,693,667,
9/27/2016,9/27,0,0,693,667,
9/28/2016,9/28,0,0,693,669,
9/29/2016,9/29,0,0,693,671,
9/30/2016,9/30,0,0,693,672,
