Date,DOY,DOY,Snow Water Equivalent (mm) Start of Day Values,Median Snow Water Equivalent (1981-2010) (mm) Start of Day Values,Precipitation Accumulation (mm) Start of Day Values,Average Precipitation Accumulation (1981-2010) (mm) Start of Day Values,
1/18/2017,1/18,1/18,356,181,351,230,
1/19/2017,1/19,1/19,356,181,351,231,
1/20/2017,1/20,1/20,358,182,351,233,
1/21/2017,1/21,1/21,363,183,356,234,
1/22/2017,1/22,1/22,363,185,356,236,
1/23/2017,1/23,1/23,371,187,361,238,
1/24/2017,1/24,1/24,386,188,376,240,
1/25/2017,1/25,1/25,389,191,378,243,
1/26/2017,1/26,1/26,391,195,381,246,
1/27/2017,1/27,1/27,391,198,381,248,
1/28/2017,1/28,1/28,391,201,381,250,
1/29/2017,1/29,1/29,394,204,384,252,
1/30/2017,1/30,1/30,394,207,384,253,
1/31/2017,1/31,1/31,396,210,386,256,
2/1/2017,2/1,2/1,396,212,386,258,
2/2/2017,2/2,2/2,396,214,394,260,
2/3/2017,2/3,2/3,396,215,394,261,
2/4/2017,2/4,2/4,399,216,396,264,
2/5/2017,2/5,2/5,399,218,396,266,
2/6/2017,2/6,2/6,399,221,396,267,
2/7/2017,2/7,2/7,401,223,399,268,
2/8/2017,2/8,2/8,434,226,429,271,
2/9/2017,2/9,2/9,447,229,437,275,
2/10/2017,2/10,2/10,447,232,437,278,
2/11/2017,2/11,2/11,450,236,439,280,
2/12/2017,2/12,2/12,460,240,444,283,
2/13/2017,2/13,2/13,460,243,452,286,
2/14/2017,2/14,2/14,460,246,452,290,
2/15/2017,2/15,2/15,462,248,452,294,
2/16/2017,2/16,2/16,462,251,452,296,
2/17/2017,2/17,2/17,465,253,452,298,
2/18/2017,2/18,2/18,465,256,452,302,
2/19/2017,2/19,2/19,467,259,455,305,
2/20/2017,2/20,2/20,472,262,455,309,
2/21/2017,2/21,2/21,472,265,457,313,
2/22/2017,2/22,2/22,472,267,457,316,
2/23/2017,2/23,2/23,472,270,460,317,
2/24/2017,2/24,2/24,478,272,465,320,
2/25/2017,2/25,2/25,478,274,465,322,
2/26/2017,2/26,2/26,480,275,467,325,
2/27/2017,2/27,2/27,483,276,467,326,
2/28/2017,2/28,2/28,493,276,475,328,
3/1/2017,3/1,3/1,503,279,483,330,
3/2/2017,3/2,3/2,505,280,485,332,
3/3/2017,3/3,3/3,508,280,488,335,
3/4/2017,3/4,3/4,511,282,490,337,
3/5/2017,3/5,3/5,513,284,490,339,
3/6/2017,3/6,3/6,513,286,490,342,
3/7/2017,3/7,3/7,518,288,495,344,
3/8/2017,3/8,3/8,521,290,495,345,
3/9/2017,3/9,3/9,521,292,495,348,
3/10/2017,3/10,3/10,523,295,495,350,
3/11/2017,3/11,3/11,523,297,495,353,
3/12/2017,3/12,3/12,523,298,495,357,
3/13/2017,3/13,3/13,523,300,495,359,
3/14/2017,3/14,3/14,523,301,495,360,
3/15/2017,3/15,3/15,523,303,495,362,
3/16/2017,3/16,3/16,523,304,495,363,
3/17/2017,3/17,3/17,523,306,495,364,
3/18/2017,3/18,3/18,523,308,485,366,
3/19/2017,3/19,3/19,523,310,485,367,
3/20/2017,3/20,3/20,523,313,485,370,
3/21/2017,3/21,3/21,523,317,485,372,
3/22/2017,3/22,3/22,523,320,485,374,
3/23/2017,3/23,3/23,523,323,485,375,
3/24/2017,3/24,3/24,523,326,488,377,
3/25/2017,3/25,3/25,526,327,490,379,
3/26/2017,3/26,3/26,526,328,490,381,
3/27/2017,3/27,3/27,528,329,490,384,
3/28/2017,3/28,3/28,528,329,493,387,
3/29/2017,3/29,3/29,531,330,503,390,
3/30/2017,3/30,3/30,533,333,505,392,
3/31/2017,3/31,3/31,533,335,505,396,
4/1/2017,4/1,4/1,533,339,511,399,
4/2/2017,4/2,4/2,536,343,511,402,
4/3/2017,4/3,4/3,538,347,513,405,
4/4/2017,4/4,4/4,538,349,518,408,
4/5/2017,4/5,4/5,541,351,521,409,
4/6/2017,4/6,4/6,541,352,521,411,
4/7/2017,4/7,4/7,541,352,521,413,
4/8/2017,4/8,4/8,536,350,521,415,
4/9/2017,4/9,4/9,528,348,521,417,
4/10/2017,4/10,4/10,528,347,521,419,
4/11/2017,4/11,4/11,523,346,521,421,
4/12/2017,4/12,4/12,508,346,521,424,
4/13/2017,4/13,4/13,508,346,521,425,
4/14/2017,4/14,4/14,485,347,521,426,
4/15/2017,4/15,4/15,472,346,521,427,
4/16/2017,4/16,4/16,457,344,521,428,
4/17/2017,4/17,4/17,439,340,521,430,
4/18/2017,4/18,4/18,424,335,521,432,
4/19/2017,4/19,4/19,399,329,521,435,
4/20/2017,4/20,4/20,399,322,521,436,
4/21/2017,4/21,4/21,391,315,523,437,
4/22/2017,4/22,4/22,406,309,531,440,
4/23/2017,4/23,4/23,401,303,531,442,
4/24/2017,4/24,4/24,368,298,531,444,
4/25/2017,4/25,4/25,363,292,531,447,
4/26/2017,4/26,4/26,368,287,536,449,
4/27/2017,4/27,4/27,373,283,538,451,
4/28/2017,4/28,4/28,389,277,554,453,
4/29/2017,4/29,4/29,391,271,559,454,
4/30/2017,4/30,4/30,396,266,559,457,
5/1/2017,5/1,5/1,394,260,559,460,
5/2/2017,5/2,5/2,389,255,559,463,
5/3/2017,5/3,5/3,389,250,561,465,
5/4/2017,5/4,5/4,391,243,564,468,
5/5/2017,5/5,5/5,363,237,564,470,
5/6/2017,5/6,5/6,328,230,564,471,
5/7/2017,5/7,5/7,307,222,564,473,
5/8/2017,5/8,5/8,287,212,564,475,
5/9/2017,5/9,5/9,277,198,564,478,
5/10/2017,5/10,5/10,269,182,566,479,
5/11/2017,5/11,5/11,264,165,566,480,
5/12/2017,5/12,5/12,231,148,566,481,
5/13/2017,5/13,5/13,208,132,566,483,
5/14/2017,5/14,5/14,175,115,566,485,
5/15/2017,5/15,5/15,150,98,566,486,
5/16/2017,5/16,5/16,127,80,566,488,
5/17/2017,5/17,5/17,117,64,566,490,
5/18/2017,5/18,5/18,122,49,577,491,
5/19/2017,5/19,5/19,130,32,582,492,
5/20/2017,5/20,5/20,132,11,587,492,
5/21/2017,5/21,5/21,130,3,587,493,
5/22/2017,5/22,5/22,127,0,592,494,
5/23/2017,5/23,5/23,117,0,594,495,
5/24/2017,5/24,5/24,91,0,594,496,
5/25/2017,5/25,5/25,53,0,594,496,
5/26/2017,5/26,5/26,20,0,597,497,
5/27/2017,5/27,5/27,10,0,597,498,
5/28/2017,5/28,5/28,0,0,599,499,
5/29/2017,5/29,5/29,0,0,602,500,
5/30/2017,5/30,5/30,0,0,605,502,
5/31/2017,5/31,5/31,0,0,607,503,
6/1/2017,6/1,6/1,0,0,607,504,
6/2/2017,6/2,6/2,0,0,610,505,
6/3/2017,6/3,6/3,0,0,610,506,
6/4/2017,6/4,6/4,0,0,610,506,
6/5/2017,6/5,6/5,0,0,610,506,
6/6/2017,6/6,6/6,0,0,610,507,
6/7/2017,6/7,6/7,0,0,612,508,
6/8/2017,6/8,6/8,0,0,612,509,
6/9/2017,6/9,6/9,0,0,612,511,
6/10/2017,6/10,6/10,0,0,612,512,
6/11/2017,6/11,6/11,0,0,612,513,
6/12/2017,6/12,6/12,0,0,612,514,
6/13/2017,6/13,6/13,0,0,612,515,
6/14/2017,6/14,6/14,0,0,612,516,
6/15/2017,6/15,6/15,0,0,612,517,
6/16/2017,6/16,6/16,0,0,612,517,
6/17/2017,6/17,6/17,0,0,612,518,
6/18/2017,6/18,6/18,0,0,612,518,
6/19/2017,6/19,6/19,0,0,612,519,
6/20/2017,6/20,6/20,0,0,612,519,
6/21/2017,6/21,6/21,0,0,612,520,
6/22/2017,6/22,6/22,0,0,612,520,
6/23/2017,6/23,6/23,0,0,612,521,
6/24/2017,6/24,6/24,0,0,612,521,
6/25/2017,6/25,6/25,0,0,612,522,
6/26/2017,6/26,6/26,0,0,612,522,
6/27/2017,6/27,6/27,0,0,612,523,
6/28/2017,6/28,6/28,0,0,612,524,
6/29/2017,6/29,6/29,0,0,612,526,
6/30/2017,6/30,6/30,0,0,612,527,
7/1/2017,7/1,7/1,0,0,612,528,
7/2/2017,7/2,7/2,0,0,612,529,
7/3/2017,7/3,7/3,0,0,612,530,
7/4/2017,7/4,7/4,0,0,612,531,
7/5/2017,7/5,7/5,0,0,612,532,
7/6/2017,7/6,7/6,0,0,612,534,
7/7/2017,7/7,7/7,0,0,612,534,
7/8/2017,7/8,7/8,0,0,612,535,
7/9/2017,7/9,7/9,0,0,612,539,
7/10/2017,7/10,7/10,0,0,612,541,
7/11/2017,7/11,7/11,0,0,612,543,
7/12/2017,7/12,7/12,0,0,612,544,
7/13/2017,7/13,7/13,0,0,635,546,
7/14/2017,7/14,7/14,0,0,640,547,
7/15/2017,7/15,7/15,0,0,645,547,
7/16/2017,7/16,7/16,0,0,658,549,
7/17/2017,7/17,7/17,0,0,658,552,
7/18/2017,7/18,7/18,0,0,658,552,
7/19/2017,7/19,7/19,0,0,660,553,
7/20/2017,7/20,7/20,0,0,660,555,
7/21/2017,7/21,7/21,0,0,660,556,
7/22/2017,7/22,7/22,0,0,660,558,
7/23/2017,7/23,7/23,0,0,665,559,
7/24/2017,7/24,7/24,0,0,668,563,
7/25/2017,7/25,7/25,0,0,671,566,
7/26/2017,7/26,7/26,0,0,676,569,
7/27/2017,7/27,7/27,0,0,676,571,
7/28/2017,7/28,7/28,0,0,676,573,
7/29/2017,7/29,7/29,0,0,686,574,
7/30/2017,7/30,7/30,0,0,688,576,
7/31/2017,7/31,7/31,0,0,688,576,
8/1/2017,8/1,8/1,0,0,688,579,
8/2/2017,8/2,8/2,0,0,688,581,
8/3/2017,8/3,8/3,0,0,693,582,
8/4/2017,8/4,8/4,0,0,693,583,
8/5/2017,8/5,8/5,0,0,693,585,
8/6/2017,8/6,8/6,0,0,696,586,
8/7/2017,8/7,8/7,0,0,696,589,
8/8/2017,8/8,8/8,0,0,701,590,
8/9/2017,8/9,8/9,0,0,704,591,
8/10/2017,8/10,8/10,0,0,704,592,
8/11/2017,8/11,8/11,0,0,704,593,
8/12/2017,8/12,8/12,0,0,704,595,
8/13/2017,8/13,8/13,0,0,704,597,
8/14/2017,8/14,8/14,0,0,704,598,
8/15/2017,8/15,8/15,0,0,711,601,
8/16/2017,8/16,8/16,0,0,711,602,
8/17/2017,8/17,8/17,0,0,711,604,
8/18/2017,8/18,8/18,0,0,711,605,
8/19/2017,8/19,8/19,0,0,711,605,
8/20/2017,8/20,8/20,0,0,711,607,
8/21/2017,8/21,8/21,0,0,711,609,
8/22/2017,8/22,8/22,0,0,714,611,
8/23/2017,8/23,8/23,0,0,714,614,
8/24/2017,8/24,8/24,0,0,714,615,
8/25/2017,8/25,8/25,0,0,714,617,
8/26/2017,8/26,8/26,0,0,714,618,
8/27/2017,8/27,8/27,0,0,714,621,
8/28/2017,8/28,8/28,0,0,714,621,
8/29/2017,8/29,8/29,0,0,714,622,
8/30/2017,8/30,8/30,0,0,714,623,
8/31/2017,8/31,8/31,0,0,714,623,
9/1/2017,9/1,9/1,0,0,714,624,
9/2/2017,9/2,9/2,0,0,714,626,
9/3/2017,9/3,9/3,0,0,714,626,
9/4/2017,9/4,9/4,0,0,714,626,
9/5/2017,9/5,9/5,0,0,714,627,
9/6/2017,9/6,9/6,0,0,714,628,
9/7/2017,9/7,9/7,0,0,714,629,
9/8/2017,9/8,9/8,0,0,714,632,
9/9/2017,9/9,9/9,0,0,714,633,
9/10/2017,9/10,9/10,0,0,714,637,
9/11/2017,9/11,9/11,0,0,719,639,
9/12/2017,9/12,9/12,0,0,721,641,
9/13/2017,9/13,9/13,0,0,721,644,
9/14/2017,9/14,9/14,0,0,721,646,
9/15/2017,9/15,9/15,0,0,734,648,
9/16/2017,9/16,9/16,0,0,734,649,
9/17/2017,9/17,9/17,0,0,734,651,
9/18/2017,9/18,9/18,0,0,739,653,
9/19/2017,9/19,9/19,0,0,739,654,
9/20/2017,9/20,9/20,0,0,739,657,
9/21/2017,9/21,9/21,0,0,739,659,
9/22/2017,9/22,9/22,0,0,739,661,
9/23/2017,9/23,9/23,0,0,739,664,
9/24/2017,9/24,9/24,0,0,744,665,
9/25/2017,9/25,9/25,0,0,747,666,
9/26/2017,9/26,9/26,0,0,747,667,
9/27/2017,9/27,9/27,0,0,749,667,
9/28/2017,9/28,9/28,0,0,752,669,
9/29/2017,9/29,9/29,0,0,757,671,
9/30/2017,9/30,9/30,0,0,759,672,
