Date,,Snow Water Equivalent (mm) Start of Day Values,Median Snow Water Equivalent (1981-2010) (mm) Start of Day Values,Precipitation Accumulation (mm) Start of Day Values,Average Precipitation Accumulation (1981-2010) (mm) Start of Day Values,
1/20/2018,1/20,114,182,132,233,
1/21/2018,1/21,117,183,135,234,
1/22/2018,1/22,117,185,135,236,
1/23/2018,1/23,117,187,135,238,
1/24/2018,1/24,117,188,137,240,
1/25/2018,1/25,117,191,137,243,
1/26/2018,1/26,119,195,137,246,
1/27/2018,1/27,119,198,140,248,
1/28/2018,1/28,119,201,140,250,
1/29/2018,1/29,122,204,140,252,
1/30/2018,1/30,122,207,140,253,
1/31/2018,1/31,122,210,140,256,
2/1/2018,2/1,124,212,142,258,
2/2/2018,2/2,124,214,142,260,
2/3/2018,2/3,124,215,142,261,
2/4/2018,2/4,124,216,142,264,
2/5/2018,2/5,127,218,142,266,
2/6/2018,2/6,132,221,145,267,
2/7/2018,2/7,132,223,147,268,
2/8/2018,2/8,135,226,150,271,
2/9/2018,2/9,135,229,150,275,
2/10/2018,2/10,135,232,150,278,
2/11/2018,2/11,142,236,155,280,
2/12/2018,2/12,145,240,160,283,
2/13/2018,2/13,155,243,163,286,
2/14/2018,2/14,157,246,168,290,
2/15/2018,2/15,160,248,170,294,
2/16/2018,2/16,170,251,180,296,
2/17/2018,2/17,170,253,180,298,
2/18/2018,2/18,170,256,180,302,
2/19/2018,2/19,173,259,180,305,
2/20/2018,2/20,173,262,183,309,
2/21/2018,2/21,173,265,185,313,
2/22/2018,2/22,173,267,185,316,
2/23/2018,2/23,175,270,188,317,
2/24/2018,2/24,175,272,188,320,
2/25/2018,2/25,180,274,193,322,
2/26/2018,2/26,180,275,193,325,
2/27/2018,2/27,183,276,193,326,
2/28/2018,2/28,183,276,193,328,
3/1/2018,3/1,183,279,196,330,
3/2/2018,3/2,183,280,196,332,
3/3/2018,3/3,185,280,196,335,
3/4/2018,3/4,185,282,196,337,
3/5/2018,3/5,185,284,198,339,
3/6/2018,3/6,185,286,198,342,
3/7/2018,3/7,188,288,198,344,
3/8/2018,3/8,188,290,198,345,
3/9/2018,3/9,188,292,198,348,
3/10/2018,3/10,188,295,198,350,
3/11/2018,3/11,188,297,198,353,
3/12/2018,3/12,188,298,198,357,
3/13/2018,3/13,188,300,198,359,
3/14/2018,3/14,188,301,198,360,
3/15/2018,3/15,190,303,198,362,
3/16/2018,3/16,196,304,203,363,
3/17/2018,3/17,198,306,203,364,
3/18/2018,3/18,201,308,203,366,
3/19/2018,3/19,203,310,206,367,
3/20/2018,3/20,203,313,208,370,
3/21/2018,3/21,206,317,208,372,
3/22/2018,3/22,206,320,211,374,
3/23/2018,3/23,208,323,211,375,
3/24/2018,3/24,226,326,226,377,
3/25/2018,3/25,226,327,226,379,
3/26/2018,3/26,226,328,226,381,
3/27/2018,3/27,226,329,229,384,
3/28/2018,3/28,226,329,229,387,
3/29/2018,3/29,226,330,229,390,
3/30/2018,3/30,226,333,229,392,
3/31/2018,3/31,226,335,229,396,
4/1/2018,4/1,224,339,229,399,
4/2/2018,4/2,221,343,229,402,
4/3/2018,4/3,224,347,231,405,
4/4/2018,4/4,226,349,231,408,
4/5/2018,4/5,226,351,231,409,
4/6/2018,4/6,226,352,231,411,
4/7/2018,4/7,234,352,236,413,
4/8/2018,4/8,254,350,259,415,
4/9/2018,4/9,257,348,267,417,
4/10/2018,4/10,257,347,269,419,
4/11/2018,4/11,251,346,269,421,
4/12/2018,4/12,241,346,269,424,
4/13/2018,4/13,239,346,272,425,
4/14/2018,4/14,239,347,272,426,
4/15/2018,4/15,234,346,272,427,
4/16/2018,4/16,226,344,272,428,
4/17/2018,4/17,221,340,272,430,
4/18/2018,4/18,218,335,272,432,
4/19/2018,4/19,208,329,272,435,
4/20/2018,4/20,198,322,272,436,
4/21/2018,4/21,211,315,282,437,
4/22/2018,4/22,213,309,284,440,
4/23/2018,4/23,206,303,284,442,
4/24/2018,4/24,190,298,284,444,
4/25/2018,4/25,183,292,284,447,
4/26/2018,4/26,165,287,284,449,
4/27/2018,4/27,145,283,287,451,
4/28/2018,4/28,119,277,287,453,
4/29/2018,4/29,107,271,287,454,
4/30/2018,4/30,94,266,287,457,
5/1/2018,5/1,79,260,287,460,
5/2/2018,5/2,71,255,287,463,
5/3/2018,5/3,69,250,290,465,
5/4/2018,5/4,71,243,290,468,
5/5/2018,5/5,48,237,290,470,
5/6/2018,5/6,18,230,290,471,
5/7/2018,5/7,0,222,290,473,
5/8/2018,5/8,0,212,290,475,
5/9/2018,5/9,0,198,290,478,
5/10/2018,5/10,0,182,292,479,
5/11/2018,5/11,0,165,300,480,
5/12/2018,5/12,0,148,300,481,
5/13/2018,5/13,0,132,300,483,
5/14/2018,5/14,0,115,300,485,
5/15/2018,5/15,0,98,302,486,
5/16/2018,5/16,0,80,302,488,
5/17/2018,5/17,0,64,302,490,
5/18/2018,5/18,0,49,302,491,
5/19/2018,5/19,0,32,302,492,
5/20/2018,5/20,0,11,302,492,
5/21/2018,5/21,0,3,302,493,
5/22/2018,5/22,0,0,302,494,
5/23/2018,5/23,0,0,302,495,
5/24/2018,5/24,0,0,305,496,
5/25/2018,5/25,0,0,310,496,
5/26/2018,5/26,0,0,310,497,
5/27/2018,5/27,0,0,310,498,
5/28/2018,5/28,0,0,310,499,
5/29/2018,5/29,0,0,310,500,
5/30/2018,5/30,0,0,310,502,
5/31/2018,5/31,0,0,310,503,
6/1/2018,6/1,0,0,312,504,
6/2/2018,6/2,0,0,312,505,
6/3/2018,6/3,0,0,312,506,
6/4/2018,6/4,0,0,312,506,
6/5/2018,6/5,0,0,312,506,
6/6/2018,6/6,0,0,312,507,
6/7/2018,6/7,0,0,312,508,
6/8/2018,6/8,0,0,312,509,
6/9/2018,6/9,0,0,312,511,
6/10/2018,6/10,0,0,312,512,
6/11/2018,6/11,0,0,312,513,
6/12/2018,6/12,0,0,312,514,
6/13/2018,6/13,0,0,312,515,
6/14/2018,6/14,0,0,312,516,
6/15/2018,6/15,0,0,312,517,
6/16/2018,6/16,0,0,312,517,
6/17/2018,6/17,0,0,312,518,
6/18/2018,6/18,0,0,312,518,
6/19/2018,6/19,0,0,312,519,
6/20/2018,6/20,0,0,312,519,
6/21/2018,6/21,0,0,312,520,
6/22/2018,6/22,0,0,312,520,
6/23/2018,6/23,0,0,312,521,
6/24/2018,6/24,0,0,312,521,
6/25/2018,6/25,0,0,312,522,
6/26/2018,6/26,0,0,312,522,
6/27/2018,6/27,0,0,312,523,
6/28/2018,6/28,0,0,312,524,
6/29/2018,6/29,0,0,312,526,
6/30/2018,6/30,0,0,312,527,
7/1/2018,7/1,0,0,312,528,
7/2/2018,7/2,0,0,312,529,
