Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU_ID,Strategy,Depth,June_Abundance,March_Abundance,May_Abundance,September_Abundance,Location,Winter_Logfoldchange,Snowmelt_Logfoldchange,Spring_Logfoldchange,Winter_logfold_CI,Snowmelt_logfold_CI,Spring_logfold_CI,Winter_adj.p,Snowmelt_adj.p,Spring_adj.p,Trophic.Mode,Guild
k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Lichenostigmatales,f__Phaeococcomycetaceae,g__Phaeococcomyces,s__Phaeococcomyces_eucalypti,OTU_942,Winter,15 cm +,0.00006,0.00024,0.00005,0.00004,Hillslope,2.68,-2.38,0.38,4.27,3.97,3.36,0.036,0.031,0.819,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,g__Ochroconis,s__Ochroconis_bacilliformis,OTU_217,Winter,0 to 5 cm,0.00094,0.00744,0.00086,0.00086,Hillslope,3.12,-3.11,0.13,4.79,4.83,3.38,0.028,0.02,0.991,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Byssonectria,s__Byssonectria_fusispora,OTU_365,Winter,0 to 5 cm,0.00026,0.00135,0.00057,0.00036,Hillslope,1.9,-1.23,-1.16,3.16,2.54,1.49,0.046,0.089,0.004,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Ascomycota_cls_Incertae_sedis,o__Ascomycota_ord_Incertae_sedis,f__Ascomycota_fam_Incertae_sedis,g__Tetracladium,s__Tetracladium_sp,OTU_111,Winter,0 to 5 cm,0.00133,0.01087,0.00421,0.00268,Hillslope,2.02,-1.37,-1.66,3.31,2.82,2.25,0.042,0.088,0.007,Saprotroph,Undefined Saprotroph
k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_hyalina,OTU_67,Winter,15 cm +,0.00034,0.067,0.00231,0.00983,Hillslope,2.77,-4.86,-2.78,4.6,6.83,6.25,0.046,0.01,0.127,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,g__Ochroconis,s__Ochroconis_sp,OTU_2256,Winter,0 to 5 cm,0.00001,0.00041,0.00003,0.0001,Hillslope,2.04,-3.92,-1.65,3.29,5.29,5.13,0.039,0.007,0.309,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaeta,s__Pyrenochaeta_sp,OTU_98,Winter,0 to 5 cm,0.00012,0.00218,0.00081,0.0001,Hillslope,4.48,-1.42,-2.71,5.53,2.72,2.34,0.005,0.064,0,Saprotroph,Undefined Saprotroph-Wood Saprotroph
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaeta,s__Pyrenochaeta_sp,OTU_98,Winter,5 to 15 cm,0.00011,0.02711,0.0055,0.00029,Hillslope,6.55,-2.3,-5.7,8.26,4.04,2.73,0.006,0.041,0,Saprotroph,Undefined Saprotroph-Wood Saprotroph
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium_delicatulum,OTU_904,Winter,0 to 5 cm,0.00081,0.00083,0.00031,0.00048,Hillslope,0.78,-1.43,1.4,1.22,2.03,1.8,0.032,0.01,0.004,Endophyte,Endophyte-Plant Pathogen
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Comoclathris,s__Comoclathris_sedi,OTU_687,Winter,0 to 5 cm,0.00006,0.00551,0.00003,0.00026,Hillslope,4.39,-7.43,1.02,6.18,9.24,8.63,0.015,0.003,0.805,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,g__Lecanicillium,s__Lecanicillium_psalliotae,OTU_789,Winter,15 cm +,0.00018,0.00091,0.00003,0.00009,Hillslope,3.4,-5.17,2.86,5.05,7.03,6.62,0.023,0.007,0.141,Pathotroph,Animal Pathogen
k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Leotiomycetes_ord_Incertae_sedis,f__Pseudeurotiaceae,g__Pseudeurotium,s__Pseudeurotium_bakeri,OTU_1075,Winter,15 cm +,0.00026,0.00043,0.00014,0.00021,Hillslope,1.01,-1.67,0.96,1.63,2.32,1.9,0.039,0.009,0.076,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Cadophora,NA,OTU_3425,Winter,5 to 15 cm,0.00323,0.0135,0.00311,0.00392,Hillslope,1.79,-2.12,0.06,2.77,3.2,2.1,0.03,0.016,1,Endophyte,Endophyte
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothideales_fam_Incertae_sedis,g__Selenophoma,s__Selenophoma_mahoniae,OTU_3514,Winter,0 to 5 cm,0.00055,0.0029,0.00019,0.00045,Hillslope,2.68,-3.94,1.54,3.5,5.06,4.78,0.008,0.004,0.308,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,s__Orbilia_gambelii,OTU_1853,Winter,0 to 5 cm,0.00001,0.00026,0.00003,0.00002,Hillslope,3.52,-3.32,-2.36,5.29,5.29,4.82,0.025,0.023,0.087,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__Knufia,s__Knufia_peltigerae,OTU_1696,Winter,0 to 5 cm,0.00012,0.00185,0.00006,0.00035,Hillslope,2.42,-4.93,0.96,3.6,5.69,5.89,0.023,0.001,0.687,Mixotrophic,Animal Pathogen-Plant Pathogen-Soil Saprotroph-Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,NA,OTU_266,Winter,0 to 5 cm,0.0047,0.01818,0.00006,0.00002,Hillslope,9.99,-8.33,6.38,11.82,10.15,9.75,0.003,0.003,0.017,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,g__Beauveria,s__Beauveria_pseudobassiana,OTU_1046,Winter,15 cm +,0.00003,0.00048,0.00003,0,Hillslope,15.56,-4.02,0.22,17.23,5.99,5.48,0.002,0.015,0.987,Pathotroph,Animal Pathogen
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Nodulosphaeria,s__Nodulosphaeria_aconiti,OTU_1450,Winter,5 to 15 cm,0.00001,0.00004,0.00001,0,Hillslope,11.78,-1.24,-0.76,13.45,3.21,2.91,0.002,0.197,0.438,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces,NA,OTU_954,Winter,15 cm +,0.00011,0.00118,0.00013,0.00013,Hillslope,3.2,-3.17,-0.31,4.95,4.9,3.66,0.03,0.019,0.887,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,NA,OTU_984,Winter,0 to 5 cm,0,0.00003,0,0,Hillslope,11.34,-11.34,0,13.01,13.01,Inf,0.002,0.001,1,Saprotroph,Soil Saprotroph
k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Cistella,s__Cistella_sp,OTU_1346,Winter,15 cm +,0.00009,0.00122,0.00003,0.00001,Hillslope,7.4,-5.33,1.5,9.14,7.1,6.79,0.005,0.006,0.536,Saprotroph,Undefined Saprotroph
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Mycena,s__Mycena_rebaudengoi,OTU_1583,Winter,15 cm +,0,0.00005,0,0,Hillslope,12.31,-12.31,0,13.98,13.98,Inf,0.002,0.001,1,Mixotrophic,Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavaria,s__Clavaria_sp,OTU_1060,Winter,15 cm +,0.00006,0.00041,0.00014,0.00006,Hillslope,2.74,-1.52,-1.27,4.25,3.14,2.57,0.03,0.089,0.084,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Cadophora,NA,OTU_298,Winter,15 cm +,0.00089,0.003,0.00097,0.00094,Hillslope,1.67,-1.63,-0.12,2.08,2.15,1.86,0.005,0.006,0.933,Endophyte,Endophyte
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Geastrales,f__Geastraceae,g__Geastrum,s__Geastrum_marginatum,OTU_652,Winter,0 to 5 cm,0,0.00014,0.00001,0.00002,Hillslope,3.15,-4.5,-2.11,5.1,6.47,6.17,0.039,0.011,0.271,Saprotroph,Soil Saprotroph
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Phoma,s__Phoma_schachtii,OTU_479,Winter,0 to 5 cm,0.00005,0.00029,0.00021,0.00006,Hillslope,2.28,-0.49,-2.01,3.71,1.82,1.23,0.041,0.432,0,Mixotrophic,Plant Pathogen-Wood Saprotroph
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Apodus,s__Apodus_deciduus,OTU_1929,Winter,0 to 5 cm,0.00007,0.00017,0.00002,0.00002,Hillslope,2.92,-3.37,1.96,4.69,5.19,4.51,0.038,0.019,0.138,Saprotroph,Undefined Saprotroph
k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_minutissima,OTU_938,Winter,15 cm +,0.0001,0.00052,0.00014,0.00006,Hillslope,3.05,-1.86,-0.59,5,3.62,2.68,0.042,0.069,0.538,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Ascomycota_cls_Incertae_sedis,o__Ascomycota_ord_Incertae_sedis,f__Ascomycota_fam_Incertae_sedis,g__Bactrodesmium,s__Bactrodesmium_longisporum,OTU_2145,Winter,0 to 5 cm,0.00002,0.00007,0,0,Hillslope,12.79,-12.79,11.1,14.46,14.46,13.92,0.002,0.001,0.003,Saprotroph,Wood Saprotroph
k__Fungi,p__Ascomycota,c__Ascomycota_cls_Incertae_sedis,o__Ascomycota_ord_Incertae_sedis,f__Ascomycota_fam_Incertae_sedis,g__Bactrodesmium,s__Bactrodesmium_longisporum,OTU_2145,Winter,5 to 15 cm,0,0.00039,0,0.00003,Hillslope,3.47,-15.24,0,5.29,16.91,Inf,0.027,0.001,1,Saprotroph,Wood Saprotroph
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Minutisphaerales,f__Minutisphaeraceae,g__Minutisphaera,s__Minutisphaera_japonica,OTU_510,Winter,5 to 15 cm,0,0.00979,0,0.00004,Hillslope,8.08,-19.9,0,9.84,21.54,Inf,0.004,0.001,1,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Leotiomycetes_ord_Incertae_sedis,f__Leotiomycetes_fam_Incertae_sedis,g__Leohumicola,NA,OTU_411,Winter,0 to 5 cm,0.00003,0.00205,0.00001,0.00002,Hillslope,6.4,-8.03,1.9,8.16,10,9.6,0.006,0.003,0.595,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Leotiomycetes_ord_Incertae_sedis,f__Leotiomycetes_fam_Incertae_sedis,g__Leohumicola,NA,OTU_411,Winter,5 to 15 cm,0.00009,0.01297,0.00001,0.00017,Hillslope,6.27,-10.08,2.94,7.96,12.04,11.36,0.006,0.002,0.444,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Leotiomycetes_ord_Incertae_sedis,f__Leotiomycetes_fam_Incertae_sedis,g__Leohumicola,NA,OTU_411,Winter,15 cm +,0.00015,0.00169,0.00011,0.00028,Hillslope,2.62,-3.92,0.47,4.35,5.72,4.74,0.046,0.013,0.854,Saprotroph,Undefined Saprotroph
k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_fimbricystis,OTU_230,Winter,15 cm +,0.00082,0.04009,0.0001,0.00221,Hillslope,4.18,-8.62,3.01,5.91,10.56,10,0.016,0.003,0.351,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Minutisphaerales,f__Minutisphaeraceae,g__Minutisphaera,s__Minutisphaera_japonica,OTU_985,Winter,5 to 15 cm,0,0.00055,0.00001,0.00009,Hillslope,2.6,-6.03,-1.09,4.38,7.86,7.47,0.05,0.005,0.734,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Paraphaeosphaeria,NA,OTU_64,Winter,15 cm +,0.00029,0.01109,0.00033,0.00088,Hillslope,3.65,-5.09,-0.17,5.37,6.82,5.49,0.021,0.006,1,Saprotroph,Undefined Saprotroph
k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_minutissima,OTU_125,Winter,0 to 5 cm,0.00005,0.00108,0.00021,0.00008,Hillslope,3.75,-2.35,-2,5.66,4.06,3.45,0.025,0.038,0.038,Saprotroph,Undefined Saprotroph
k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_minutissima,OTU_125,Winter,15 cm +,0.00108,0.0336,0.00107,0.00097,Hillslope,5.11,-4.97,0.01,6.73,6.59,5.69,0.009,0.006,1,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Myxotrichaceae,g__Oidiodendron,s__Oidiodendron_truncatum,OTU_1146,Winter,5 to 15 cm,0.00004,0.00024,0,0.00006,Hillslope,1.97,-14.54,12.08,3.25,15.67,15.21,0.044,0.001,0.003,Ericoid Mycorrhizal,Ericoid Mycorrhizal
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Comoclathris,s__Comoclathris_spartii,OTU_422,Winter,5 to 15 cm,0.00001,0.00077,0.00005,0,Hillslope,16.23,-3.92,-2.99,17.84,5.7,5.37,0.002,0.012,0.047,Saprotroph,Undefined Saprotroph
k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_elongata,OTU_619,Winter,5 to 15 cm,0.00162,0.00303,0.00177,0.00011,Hillslope,4.72,-0.78,-0.12,6.54,2.75,2.43,0.014,0.395,0.969,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__Knufia,s__Knufia_tsunedae,OTU_1135,Winter,0 to 5 cm,0.00001,0.00294,0,0.00005,Hillslope,5.98,-18.17,9.98,7.52,19.44,18.25,0.006,0.001,0.052,Mixotrophic,Animal Pathogen-Plant Pathogen-Soil Saprotroph-Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__Knufia,s__Knufia_tsunedae,OTU_1135,Winter,5 to 15 cm,0,0.00006,0,0,Hillslope,12.55,-12.55,8.75,13.47,13.47,13.69,0.002,0.001,0.02,Mixotrophic,Animal Pathogen-Plant Pathogen-Soil Saprotroph-Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__Knufia,s__Knufia_tsunedae,OTU_1135,Winter,15 cm +,0,0.00012,0,0,Hillslope,13.6,-13.6,0,14.49,14.49,Inf,0.002,0.001,1,Mixotrophic,Animal Pathogen-Plant Pathogen-Soil Saprotroph-Undefined Saprotroph
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Typhulaceae,g__Typhula,NA,OTU_369,Winter,15 cm +,0.0002,0.00028,0,0,Hillslope,14.76,-14.76,14.29,16.43,16.43,15.91,0.002,0.001,0.001,Pathotroph,Plant Pathogen
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Ilyonectria,s__Ilyonectria_mors-panacis,OTU_610,Winter,5 to 15 cm,0.0039,0.01131,0.00229,0,Hillslope,11.65,-2.3,0.77,13.6,4.12,3.72,0.003,0.046,0.572,Pathotroph,Plant Pathogen
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,g__Ochroconis,s__Ochroconis_bacilliformis,OTU_1074,Winter,0 to 5 cm,0.00012,0.0012,0.00011,0.00011,Hillslope,3.49,-3.45,0.17,5.32,5.23,4.43,0.027,0.017,0.991,Saprotroph,Undefined Saprotroph
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Crepidotaceae,g__Crepidotus,s__Crepidotus_sp,OTU_188,Winter,0 to 5 cm,0.00001,0.05697,0.00011,0.00005,Hillslope,10.06,-9.04,-3.12,12.01,11.02,10.52,0.003,0.003,0.36,Saprotroph,Wood Saprotroph
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Schizothecium,NA,OTU_2060,Winter,0 to 5 cm,0.0001,0.00032,0.00015,0.00001,Hillslope,5.32,-1.08,-0.63,7.27,2.86,2.03,0.012,0.21,0.332,Saprotroph,Dung Saprotroph
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Schizothecium,NA,OTU_2060,Winter,15 cm +,0,0.00006,0.00004,0,Hillslope,12.47,-0.6,-11.87,14.14,2.45,1.33,0.002,0.498,0,Saprotroph,Dung Saprotroph
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Serendipitaceae,g__Serendipita,s__Serendipita_sp,OTU_1267,Winter,0 to 5 cm,0.00008,0.00148,0.00002,0.00008,Hillslope,4.2,-6.19,1.93,6.13,7.99,7.42,0.02,0.005,0.441,Endophyte,Orchid Mycorrhizal
k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_decumbens,OTU_1249,Winter,15 cm +,0.00005,0.0002,0.00002,0.00008,Hillslope,1.38,-3.69,1.8,2.22,4.57,4.23,0.038,0.003,0.148,Saprotroph,Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Ophiocordycipitaceae,g__Polycephalomyces,s__Polycephalomyces_prolificus,OTU_2032,Winter,0 to 5 cm,0,0.00004,0,0,Hillslope,11.79,-11.79,0,13.46,13.46,Inf,0.002,0.001,1,Pathotroph,Mycoparasite
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,s__Entoloma_vindobonense,OTU_339,Winter,0 to 5 cm,0,0.02616,0,0.00001,Hillslope,11.93,-21.32,0,13.88,22.98,Inf,0.002,0.001,1,Mixotrophic,Ectomycorrhizal-Undefined Saprotroph
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,s__Entoloma_vindobonense,OTU_339,Winter,5 to 15 cm,0,0.00092,0.00001,0,Hillslope,16.49,-6,-10.49,16.82,7.4,7.21,0.002,0.003,0,Mixotrophic,Ectomycorrhizal-Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,NA,OTU_271,Winter,0 to 5 cm,0.00001,0.00016,0,0,Hillslope,14,-14,9.86,14.99,14.99,14.69,0.002,0.001,0.015,Saprotroph,Soil Saprotroph
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Scutellinia,s__Scutellinia_sp,OTU_301,Winter,5 to 15 cm,0.00004,0.00519,0,0.00028,Hillslope,4.23,-18.98,11.91,5.72,20.07,19.07,0.011,0.001,0.024,Saprotroph,Undefined Saprotroph
k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Apiotrichum,s__Apiotrichum_gracile,OTU_1818,Winter,5 to 15 cm,0,0.00009,0,0,Hillslope,13.21,-13.21,0,14.88,14.88,Inf,0.002,0.001,1,Saprotroph,Soil Saprotroph
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Ilyonectria,s__Ilyonectria_mors-panacis,OTU_661,Winter,0 to 5 cm,0,0.00651,0,0.00081,Hillslope,3.01,-19.31,0,4.97,20.98,Inf,0.044,0.001,1,Pathotroph,Plant Pathogen
k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__Alatospora_sp,OTU_669,Winter,5 to 15 cm,0.00012,0.00047,0.00002,0.00005,Hillslope,3.17,-4.71,2.79,5.03,6.68,6.03,0.035,0.01,0.109,Saprotroph,Undefined Saprotroph
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Lycoperdaceae,g__Holocotylon,s__Holocotylon_brandegeeanum,OTU_1417,Winter,5 to 15 cm,0.00001,0.00018,0.00014,0,Hillslope,14.11,-0.3,-3.76,15.78,2.09,1.66,0.002,0.835,0,Saprotroph,Undefined Saprotroph
k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_elongata,OTU_529,Winter,0 to 5 cm,0.00212,0.01472,0,0,Hillslope,20.49,-20.49,17.7,22.16,22.16,21.62,0.002,0.001,0.002,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Crocicreas,s__Crocicreas_sp,OTU_2869,Winter,5 to 15 cm,0.00149,0.00339,0.00048,0.00015,Hillslope,4.46,-2.82,1.64,6.22,4.66,3.98,0.014,0.029,0.164,Saprotroph,Undefined Saprotroph
k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Leotiomycetes_ord_Incertae_sedis,f__Pseudeurotiaceae,g__Pseudeurotium,s__Pseudeurotium_bakeri,OTU_220,Winter,15 cm +,0.00005,0.00448,0,0.00006,Hillslope,6.16,-18.77,12.24,7.92,20.44,19.38,0.007,0.001,0.022,Saprotroph,Undefined Saprotroph
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Cortinarius_alpinus,OTU_3572,Winter,0 to 5 cm,0,0.00007,0,0.00001,Hillslope,3.42,-12.8,0,4.94,13.68,Inf,0.019,0.001,1,Ectomycorrhizal,Ectomycorrhizal
k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Cistella,s__Cistella_sp,OTU_391,Winter,0 to 5 cm,0.00158,0.01506,0.00104,0.00173,Hillslope,3.12,-3.86,0.61,5.05,5.77,5.21,0.039,0.015,0.808,Saprotroph,Undefined Saprotroph
