Site,date,top (cm),bottom (cm),T (C) ,densityA (g/cm3),densityB (g/cm3),density C (g/cm3),dH A (permil),dH B  (permil),dO A  (permil),dO B  (permil),d-excess A (permil),d-excess B (permil),
LMWLSP,4/4/2016,73,63,-2,0.336,0.325,,-147.25,-147.40,-20.01,-20.05,12.81,13.03,
LMWLSP,4/4/2016,63,53,-1.5,0.32,0.328,,-173.18,-168.69,-23.45,-22.84,14.45,14.06,
LMWLSP,4/4/2016,53,43,-1,0.316,0.308,,-161.52,-163.37,-22.28,-22.64,16.70,17.73,
LMWLSP,4/4/2016,43,33,-0.5,0.341,0.301,,-195.99,-188.97,-25.54,-24.90,8.29,10.26,
LMWLSP,4/4/2016,33,23,0,0.333,0.336,,-179.28,-175.63,-24.10,-23.64,13.54,13.50,
LMWLSP,4/4/2016,23,13,0,0.271,0.271,,-133.05,-138.30,-18.63,-19.33,15.98,16.33,
LMWLSP,4/4/2016,13,3,0,0.264,0.259,,-121.28,-119.70,-16.92,-16.72,14.09,14.07,
LMWLSP,4/4/2016,3,0,0,,,,,,,,,,
403SP1,4/2/2016,197,187,-2,0.193,0.197,,-132.93,,-18.31,,13.58,,
403SP1,4/2/2016,187,177,0,0.226,0.233,,-117.92,,-16.76,,16.16,,
403SP1,4/2/2016,177,167,-3.5,0.254,0.281,,-144.15,,-19.67,,13.25,,
403SP1,4/2/2016,167,157,-3.5,0.293,0.277,,-87.35,,-12.77,,14.84,,
403SP1,4/2/2016,157,147,-3,0.342,0.329,,-96.44,,-13.61,,12.42,,
403SP1,4/2/2016,147,137,-2.5,0.334,0.389,,-141.73,,-19.16,,11.55,,
403SP1,4/2/2016,137,127,-2,0.347,0.346,,-141.71,,-19.25,,12.32,,
403SP1,4/2/2016,127,117,-2,0.381,0.372,,-134.17,,-18.61,,14.67,,
403SP1,4/2/2016,117,107,-2,0.373,0.376,,-165.38,,-22.45,,14.19,,
403SP1,4/2/2016,107,97,-1.5,0.385,0.407,,-178.74,,-24.49,,17.14,,
403SP1,4/2/2016,97,87,-1.5,0.419,0.42,,-152.77,,-21.50,,19.23,,
403SP1,4/2/2016,87,77,-1.5,0.409,0.397,,-165.56,,-22.54,,14.74,,
403SP1,4/2/2016,77,67,-1,0.396,0.413,,-191.05,,-25.43,,12.42,,
403SP1,4/2/2016,67,57,-1,0.407,0.413,,-156.46,,-22.26,,21.62,,
403SP1,4/2/2016,57,47,-1,0.393,0.397,,-152.51,,-21.36,,18.34,,
403SP1,4/2/2016,47,37,-0.5,0.336,0.353,,-121.22,,-17.87,,21.76,,
403SP1,4/2/2016,37,27,-0.5,0.312,0.32,,-131.98,,-18.51,,16.10,,
403SP1,4/2/2016,27,17,-0.5,0.327,0.323,,-125.21,,-18.09,,19.55,,
403SP1,4/2/2016,17,7,0,0.329,0.297,,-109.96,,-15.66,,15.33,,
403SP1,4/2/2016,7,0,0,,,,-109.96,,-15.66,,15.33,,
JFSP1,4/3/2016,88,78,0,0.335,0.355,,-97.74,-99.77,-13.37,-13.56,9.25,8.72,
JFSP1,4/3/2016,78,68,-1.5,0.316,0.314,,-114.28,-128.51,-14.12,-17.10,-1.34,8.27,
JFSP1,4/3/2016,68,58,-2,0.323,0.358,,-138.72,-134.97,-18.71,-17.48,10.94,4.89,
JFSP1,4/3/2016,58,48,-1,0.393,0.349,,-160.05,-154.96,-21.70,-21.04,13.54,13.35,
JFSP1,4/3/2016,48,38,-0.5,0.347,0.338,,-163.13,-168.81,-22.34,-23.11,15.62,16.10,
JFSP1,4/3/2016,38,28,0,0.352,0.336,,-158.80,-158.29,-21.82,-20.63,15.77,6.78,
JFSP1,4/3/2016,28,18,0,0.359,0.343,,-191.92,-192.41,-25.40,-25.57,11.27,12.12,
JFSP1,4/3/2016,18,8,0,0.379,0.34,,-160.23,-149.90,-22.30,-21.13,18.16,19.11,
JFSP1,4/3/2016,8,0,0,,,,,,,,,,
JFSP2,4/3/2016,86,76,0,0.345,0.342,,-117.43,-114.11,-15.30,-15.28,4.99,8.15,
JFSP2,4/3/2016,76,66,0,0.328,0.315,,-116.26,-129.70,-14.47,-17.14,-0.50,7.38,
JFSP2,4/3/2016,66,56,-1,0.399,0.337,,-139.04,-137.44,-18.63,-18.23,9.98,8.38,
JFSP2,4/3/2016,56,46,-1,0.418,0.357,,-152.34,-158.21,-20.28,-21.22,9.92,11.58,
JFSP2,4/3/2016,46,36,-0.5,0.324,0.318,,-165.32,-171.04,-22.66,-23.14,15.92,14.11,
JFSP2,4/3/2016,36,26,0,0.344,0.335,,-171.00,-162.43,-23.12,-20.50,13.95,1.55,
JFSP2,4/3/2016,26,16,0,0.354,0.338,,-190.29,-182.52,-25.57,-24.58,14.23,14.14,
JFSP2,4/3/2016,16,6,0,0.345,0.346,,-148.95,-149.27,-20.05,-20.26,11.47,12.83,
JFSP2,4/3/2016,6,0,0,,,,,,,,,,
BCCSP2,4/3/2016,79,69,1.5,0.325,,,-118.17,,-15.52,,6.00,,
BCCSP2,4/3/2016,69,59,-1,0.389,,,-138.55,,-18.73,,11.27,,
BCCSP2,4/3/2016,59,49,-1,0.413,,,-157.77,,-21.49,,14.16,,
BCCSP2,4/3/2016,49,39,0,0.3,,,-164.60,,-22.24,,13.36,,
BCCSP2,4/3/2016,39,29,0,0.352,,,-194.46,,-25.60,,10.35,,
BCCSP2,4/3/2016,29,19,0,0.347,,,-147.94,,-20.33,,14.71,,
BCCSP2,4/3/2016,19,9,0,0.308,,,-129.68,,-18.09,,15.04,,
BCCSP2,4/3/2016,9,0,0,0.308,,,-129.68,,-18.09,,15.04,,
BCCSP1,2/27/2016,90,80,-2,0.285142857,,,-151.04,,-20.62,,13.95,,
BCCSP1,2/27/2016,80,70,-9,0.316,,,-182.64,,-24.56,,13.80,,
BCCSP1,2/27/2016,70,60,-5.5,0.29,,,-218.15,,-28.66,,11.16,,
BCCSP1,2/27/2016,60,50,,0.298,,,-192.32,,-25.38,,10.69,,
BCCSP1,2/27/2016,50,40,-3.5,0.316,,,-158.96,,-22.00,,17.05,,
BCCSP1,2/27/2016,40,30,,0.364,,,-179.12,,-24.25,,14.84,,
BCCSP1,2/27/2016,30,20,-3,0.342,,,-153.11,,-20.96,,14.54,,
BCCSP1,2/27/2016,20,10,,0.318,,,-151.68,,-20.36,,11.19,,
BCCSP1,2/27/2016,10,0,-2,0.364,,,-169.19,,-22.51,,10.92,,
