Site,date,top (cm),bottom (cm),T (C) ,densityA (g/m3),densityB (g/m3),density C (g/m3),dH A (permil),dH B (permil),dO A (permil),dO B (permil),dexcess A (permil),dExcess B (permil)
IRN,2/5/2000,113,103,-5.2,0.269,0.248,0.248,-176.17,-185.20,-23.69,-24.58,13.31,11.46
IRN,2/5/2000,103,93,-4.5,0.307,0.305,,-154.52,-158.38,-21.56,-21.92,17.95,17.00
IRN,2/5/2000,93,83,-3.9,0.301,0.292,0.304,-153.16,-150.66,-20.96,-20.70,14.48,14.93
IRN,2/5/2000,83,73,-3.3,0.305,0.314,0.311,-147.01,-154.10,-20.31,-21.09,15.47,14.59
IRN,2/5/2000,73,63,-2.8,0.329,0.315,0.318,-113.52,-117.04,-16.10,-16.48,15.29,14.79
IRN,2/5/2000,63,53,-2.4,0.341,0.335,,-125.91,-123.21,-17.45,-17.16,13.68,14.07
IRN,2/5/2000,53,43,-2,0.335,0.345,,-137.46,-137.16,-18.97,-18.93,14.32,14.29
IRN,2/5/2000,43,33,-1.6,0.355,0.365,0.356,-167.21,-173.63,-23.13,-23.94,17.80,17.92
IRN,2/5/2000,33,23,-1.3,0.369,0.375,0,-189.55,-190.96,-25.79,-25.94,16.74,16.54
IRN,2/5/2000,23,13,-0.9,0.342,0.346,0,-163.36,-166.85,-22.18,-22.69,14.09,14.65
IRN,2/5/2000,13,3,-0.5,0.276,0.274,0,,,,,,
IRN,2/12/2000,193,183,-4.9,0.114,0.189,0.114,-113.12,-92.35,-15.43,-13.89,10.30,18.77
IRN,2/12/2000,183,173,-8,0.162,0.165,,-113.12,-120.91,-15.43,-16.39,10.30,10.17
IRN,2/12/2000,173,163,-8.9,0.171,0.163,,-125.06,-125.02,-16.86,-16.87,9.79,9.94
IRN,2/12/2000,163,153,-7.5,0.19,0.19,,-132.83,-133.38,-17.76,-17.85,9.23,9.40
IRN,2/12/2000,153,143,-6.8,0.166,0.163,,-145.85,-148.84,-19.46,-20.24,9.82,13.06
IRN,2/12/2000,143,133,-5.8,0.175,0.188,0.19,-169.33,-162.60,-22.66,-22.10,11.97,14.20
IRN,2/12/2000,133,123,-5.3,0.213,0.231,0.22,-147.89,-139.79,-20.32,-18.98,14.65,12.05
IRN,2/12/2000,123,113,-4.9,0.252,0.269,0.259,-147.82,-156.01,-19.84,-20.90,10.94,11.17
IRN,2/12/2000,113,103,-4.5,0.273,0.278,,-165.11,-182.53,-22.04,-24.20,11.17,11.10
IRN,2/12/2000,103,93,-4.1,0.305,0.32,0.327,-174.58,-168.89,-23.44,-22.82,12.91,13.66
IRN,2/12/2000,93,83,-3.7,0.33,0.32,0.32,-152.16,-151.71,-21.17,-20.89,17.21,15.40
IRN,2/12/2000,83,73,-3.2,0.321,0.325,0.323,-156.11,-155.72,-21.26,-21.24,14.01,14.17
IRN,2/12/2000,73,63,-2.7,0.326,0.317,,-128.85,-117.88,-18.06,-16.66,15.66,15.37
IRN,2/12/2000,63,53,-2.1,0.343,0.336,,-111.89,-115.39,-15.85,-16.33,14.88,15.25
IRN,2/12/2000,53,43,-1.8,0.357,0.336,0.35,-127.41,-136.04,-17.70,-18.81,14.17,14.43
IRN,2/12/2000,43,33,-1.4,0.353,0.352,,-140.56,-173.74,-19.52,-23.79,15.58,16.61
IRN,2/12/2000,33,23,-1,0.376,0.367,,-182.40,-185.21,-24.97,-25.17,17.33,16.11
IRN,2/12/2000,23,13,-0.7,0.365,0.342,0.352,-181.24,-164.81,-24.67,-22.36,16.14,14.09
IRN,2/12/2000,13,3,-0.5,0.303,0.318,0.294,-146.64,-133.20,-19.84,-17.99,12.09,10.71
IRN,2/19/2000,197,187,-5.8,0.116,0.105,0.112,-132.19,-130.93,-18.49,-18.38,15.73,16.15
IRN,2/19/2000,187,177,-7.5,0.126,0.132,,-142.35,-144.30,-19.65,-19.82,14.83,14.28
IRN,2/19/2000,177,167,-6.5,0.185,0.179,,-105.01,-107.23,-15.10,-15.59,15.75,17.53
IRN,2/19/2000,167,157,-5.8,0.21,0.205,,-124.08,-118.75,-16.78,-16.17,10.14,10.59
IRN,2/19/2000,157,147,-5.2,0.234,0.232,,-133.10,-129.88,-17.84,-17.43,9.61,9.54
IRN,2/19/2000,147,137,-4.7,0.228,0.233,,-151.23,-146.47,-20.30,-19.65,11.15,10.75
IRN,2/19/2000,137,127,-4.4,0.264,0.259,,-150.43,-152.37,-20.61,-20.87,14.44,14.58
IRN,2/19/2000,127,117,-4,0.29,0.28,0.283,-149.28,-148.39,-20.15,-19.97,11.89,11.38
IRN,2/19/2000,117,107,-3.5,0.303,0.303,,-169.19,-170.13,-22.63,-22.75,11.82,11.84
IRN,2/19/2000,107,97,-3.2,0.335,0.344,,-176.63,-168.69,-23.69,-22.87,12.86,14.29
IRN,2/19/2000,97,87,-2.8,0.36,0.348,0.351,-153.24,-151.96,-21.42,-21.26,18.12,18.14
IRN,2/19/2000,87,77,-2.4,0.342,0.344,,-154.84,-155.50,-21.28,-21.28,15.38,14.76
IRN,2/19/2000,77,67,-2,0.339,0.347,,-126.28,-122.90,-17.78,-17.40,15.98,16.33
IRN,2/19/2000,67,57,-1.7,0.353,0.35,,-112.96,-112.66,-16.10,-16.09,15.82,16.06
IRN,2/19/2000,57,47,-1.3,0.359,0.358,,-131.74,-128.51,-18.30,-17.89,14.69,14.65
IRN,2/19/2000,47,37,-1,0.364,0.361,,-151.07,-146.66,-21.05,-20.43,17.30,16.80
IRN,2/19/2000,37,27,-0.7,0.391,0.381,0.38,-179.30,-175.98,-24.66,-24.29,18.00,18.37
IRN,2/19/2000,27,17,-0.5,0.364,0.372,,-168.33,-179.52,-22.93,-24.49,15.08,16.38
IRN,2/19/2000,17,7,-0.1,0.334,0.346,0.328,-150.28,-157.83,-20.41,-21.40,12.99,13.35
IRN,2/26/2000,194,184,-12.8,0.137,0.153,0.132,-139.61,-140.86,-19.10,-19.17,13.20,12.53
IRN,2/26/2000,184,174,-14.1,0.137,0.134,,-144.21,-143.16,-19.48,-19.45,11.64,12.43
IRN,2/26/2000,174,164,-9.6,0.194,0.188,,-136.09,-134.27,-18.59,-18.33,12.59,12.37
IRN,2/26/2000,164,154,-7,0.211,0.215,,-123.01,-118.69,-17.50,-16.96,16.96,16.99
IRN,2/26/2000,154,144,-5.6,0.239,0.236,,-120.33,-118.61,-16.31,-16.18,10.13,10.81
IRN,2/26/2000,144,134,-4.9,0.264,0.236,,-133.90,-132.96,-17.90,-17.84,9.30,9.73
IRN,2/26/2000,134,124,-4.3,0.28,0.28,,-155.31,-153.71,-20.81,-20.60,11.17,11.09
IRN,2/26/2000,124,114,-3.7,0.296,0.303,,-144.83,-145.27,-19.71,-19.81,12.87,13.18
IRN,2/26/2000,114,104,-3.4,0.323,0.321,,-159.33,-155.61,-21.36,-20.90,11.58,11.55
IRN,2/26/2000,104,94,-3.1,0.346,0.348,,-177.33,-178.90,-23.75,-23.83,12.65,11.76
IRN,2/26/2000,94,84,-2.7,0.372,0.37,,-155.47,-156.39,-21.61,-21.70,17.39,17.20
IRN,2/26/2020,84,74,,0.35,0.346,,,-154.03,,-21.13,0.00,15.01
IRN,2/26/2000,74,64,-2,0.345,0.347,,-143.60,-138.98,-19.88,-19.27,15.41,15.14
IRN,2/26/2000,64,54,-1.6,0.358,0.353,,-112.17,-112.31,-15.95,-15.96,15.46,15.35
IRN,2/26/2000,54,44,-1.3,0.363,0.368,,-123.16,-123.47,-17.25,-17.22,14.86,14.32
IRN,2/26/2000,44,34,-1.1,0.385,0.376,0.37,-121.98,-137.47,-17.06,-19.05,14.47,14.93
IRN,2/26/2000,34,24,-0.7,0.388,0.378,0.38,-165.95,-168.91,-23.00,-23.34,18.05,17.83
IRN,2/26/2000,24,14,-0.5,0.388,0.367,0.382,-178.15,-175.23,-24.21,-23.87,15.52,15.77
IRN,2/26/2000,14,4,-0.3,0.342,0.341,,-157.77,-156.51,-21.36,-21.26,13.08,13.54
IRN,3/12/2020,207,197,-1.5,0.191,0.187,,-112.64,-124.28,-15.63,-16.96,12.43,11.37
IRN,3/12/2020,197,187,-1.8,0.156,0.201,0.202,-134.19,-112.79,-18.20,-15.58,11.41,11.83
IRN,3/12/2020,187,177,-1.9,0.188,0.203,0.203,-130.33,-121.91,-17.56,-17.00,10.15,14.13
IRN,3/12/2020,177,167,-2.1,0.238,0.25,0.25,-126.27,-135.73,-17.37,-18.38,12.67,11.31
IRN,3/12/2020,167,157,-2.3,0.284,0.291,,-103.54,-128.57,-14.21,-17.33,10.11,10.06
IRN,3/12/2020,157,147,-2.5,0.296,0.293,,-124.95,-114.00,-16.89,-15.58,10.14,10.66
IRN,3/12/2020,147,137,-2.5,0.308,0.311,,,-133.93,,-17.77,0.00,8.21
IRN,3/12/2020,137,127,-2.5,0.337,0.356,0.335,,-150.61,,-20.18,0.00,10.81
IRN,3/12/2020,127,117,-2.4,0.338,0.343,,,-151.98,,-20.24,0.00,9.93
IRN,3/12/2020,117,107,-2.2,0.352,0.364,0.347,,-175.24,,-23.09,0.00,9.44
IRN,3/12/2020,107,97,-2.1,0.387,0.393,,,-162.40,,-21.82,0.00,12.14
IRN,3/12/2020,97,87,-1.9,0.401,0.388,0.391,,-150.96,,-20.70,0.00,14.64
IRN,3/12/2020,87,77,-1.7,0.368,0.365,,,-148.18,,-20.10,0.00,12.60
IRN,3/12/2020,77,67,-1.5,0.373,0.363,0.376,,-121.93,,-16.96,0.00,13.73
IRN,3/12/2020,67,57,-1.2,0.375,0.38,,,-113.70,,-15.90,0.00,13.52
IRN,3/12/2020,57,47,-1,0.398,0.388,0.385,,-129.89,,-17.83,0.00,12.78
IRN,3/12/2020,47,37,-0.8,0.374,0.385,0.377,,-150.26,,-20.66,0.00,15.01
IRN,3/12/2020,37,27,-0.6,0.412,0.403,,,-181.83,,-24.63,0.00,15.23
IRN,3/12/2020,27,17,-0.4,0.381,0.359,0.39,,-160.14,,-21.46,0.00,11.52
IRN,3/12/2020,17,7,-0.2,0.32,0.329,,,-140.77,,-18.79,0.00,9.52
IRN,3/12/2020,7,,0,,,,,,,,,
IRN,4/8/2020,197,187,-0.8,0.274,0.267,,-126.07,-125.91,-17.73,-17.66,15.77,15.38
IRN,4/8/2020,187,177,-0.7,0.254,0.269,,-94.91,-102.42,-14.21,-15.03,18.81,17.83
IRN,4/8/2020,177,167,-2.4,0.262,0.259,,-174.48,-186.91,-23.66,-25.13,14.80,14.13
IRN,4/8/2020,167,157,-1.3,0.298,0.288,0.284,-159.53,-157.03,-21.47,-21.12,12.24,11.94
IRN,4/8/2020,157,147,-0.7,0.294,0.301,,-116.52,-116.85,-16.24,-16.19,13.40,12.66
IRN,4/8/2020,147,137,-0.8,0.324,0.324,,-125.21,-124.76,-17.54,-17.48,15.09,15.08
IRN,4/8/2020,137,127,-1.1,0.34,0.337,,-135.69,-136.64,-18.69,-18.82,13.83,13.90
IRN,4/8/2020,127,117,-1.2,0.355,0.353,,-119.21,-120.85,-16.76,-16.97,14.87,14.91
IRN,4/8/2020,117,107,-1.3,0.376,0.365,0.362,-132.59,-131.71,-18.01,-17.84,11.53,11.03
IRN,4/8/2020,107,97,-1.2,0.395,0.393,,-147.07,-148.02,-20.12,-20.15,13.88,13.19
IRN,4/8/2020,97,87,-1.2,0.374,0.381,,-154.66,-156.18,-20.98,-21.17,13.15,13.19
IRN,4/8/2020,87,77,-1.1,0.397,0.401,0.419,-171.74,-173.68,-23.13,-23.35,13.29,13.13
IRN,4/8/2020,77,67,-1.1,0.407,0.41,,-154.26,-155.81,-21.48,-21.66,17.60,17.46
IRN,4/8/2020,67,57,-1,0.375,0.371,,-143.76,-147.50,-19.95,-20.36,15.83,15.36
IRN,4/8/2020,57,47,-0.8,0.372,0.368,,-115.03,-117.89,-16.38,-16.82,16.00,16.64
IRN,4/8/2020,47,37,-0.7,0.382,0.386,,-128.09,-127.99,-18.00,-17.95,15.87,15.64
IRN,4/8/2020,37,27,-0.6,0.382,0.388,,-146.16,-146.34,-20.47,-20.61,17.61,18.54
IRN,4/8/2020,27,17,-0.5,0.409,0.409,,-176.54,-178.14,-24.37,-24.51,18.39,17.91
IRN,4/8/2020,17,7,-0.3,0.381,0.376,,-168.73,-165.47,-23.12,-22.65,16.27,15.70
IRN,4/8/2020,7,0,-0.2,,,,,,,,,
IRN,4/22/2020,211,201,-0.1,0.308,0.309,,-112.10,-111.81,-15.57,-15.57,12.46,12.76
IRN,4/22/2020,201,191,-0.1,0.24,0.24,,-117.59,-119.35,-16.39,-16.65,13.54,13.83
IRN,4/22/2020,191,181,-0.1,0.334,0.296,0.309,-109.95,-110.03,-15.60,-15.67,14.84,15.32
IRN,4/22/2020,181,171,-0.2,0.331,0.326,,-112.68,-113.11,-16.14,-16.22,16.46,16.63
IRN,4/22/2020,171,161,-0.7,0.335,0.33,,-174.12,-177.57,-23.22,-23.64,11.61,11.54
IRN,4/22/2020,161,151,-0.8,0.222,0.221,,-127.99,-127.36,-17.50,-17.43,12.04,12.10
IRN,4/22/2020,151,141,-0.8,0.332,0.341,,-116.70,-119.12,-16.31,-16.63,13.74,13.93
IRN,4/22/2020,141,131,-0.8,0.357,0.354,,-130.68,-131.00,-17.96,-18.03,13.04,13.23
IRN,4/22/2020,131,121,-0.8,0.383,0.373,,-123.71,-121.27,-17.31,-16.95,14.80,14.29
IRN,4/22/2020,121,111,-0.8,0.386,0.383,,-124.04,-124.81,-16.89,-16.99,11.08,11.08
IRN,4/22/2020,111,101,-0.7,0.415,0.41,,-145.60,-145.15,-19.68,-19.63,11.81,11.86
IRN,4/22/2020,101,91,-0.6,0.398,0.397,,-150.04,-150.16,-20.31,-20.34,12.45,12.57
IRN,4/22/2020,91,81,-0.5,0.415,0.415,,-170.65,-171.25,-22.82,-22.91,11.92,12.04
IRN,4/22/2020,81,71,-0.4,0.428,0.436,,-153.91,-154.97,-21.33,-21.43,16.69,16.50
IRN,4/22/2020,71,61,-0.2,0.4,0.401,,-149.69,-150.52,-20.53,-20.72,14.54,15.22
IRN,4/22/2020,61,51,-0.2,0.386,0.4,0.389,-119.77,-120.12,-16.91,-17.00,15.48,15.88
IRN,4/22/2020,51,41,-0.2,0.393,0.394,,-118.64,-114.82,-16.72,-16.33,15.11,15.80
IRN,4/22/2020,41,31,-0.2,0.398,0.401,,-135.79,-134.12,-18.91,-18.73,15.50,15.74
IRN,4/22/2020,31,21,-0.2,0.424,0.416,,-164.46,-167.38,-22.75,-23.16,17.51,17.87
IRN,4/22/2020,21,11,-0.1,0.404,0.392,,-179.40,-167.66,-24.41,-22.90,15.92,15.55
IRN,4/22/2020,11,1,-0.1,0.366,0.384,0.399,-155.07,-160.74,-21.11,-21.85,13.81,14.09
IRN,4/22/2020,1,0,0,,,,,,,,,
IRN,5/6/2020,153,143,-0.1,0.458,0.444,,-126.73,-123.26,-17.42,-17.05,12.67,13.12
IRN,5/6/2020,143,133,-0.8,0.401,0.396,,-129.04,-127.91,-17.93,-17.82,14.37,14.63
IRN,5/6/2020,133,123,-1,0.396,0.4,,-120.09,-121.19,-16.60,-16.73,12.67,12.64
IRN,5/6/2020,123,113,-0.5,0.423,0.413,,-140.55,-141.93,-18.95,-19.19,11.08,11.63
IRN,5/6/2020,113,103,-0.2,0.428,0.412,,-147.94,-147.94,-20.17,-20.21,13.42,13.77
IRN,5/6/2020,103,93,-0.1,0.426,0.424,,-165.26,-167.10,-22.11,-22.35,11.61,11.68
IRN,5/6/2020,93,83,-0.1,0.478,0.451,0.461,-158.54,-157.21,-21.54,-21.41,13.78,14.06
IRN,5/6/2020,83,73,-0.1,0.451,0.459,,-151.34,-151.19,-21.08,-21.04,17.28,17.17
IRN,5/6/2020,73,63,-0.1,0.433,0.424,,-150.42,-150.09,-20.68,-20.64,14.99,15.07
IRN,5/6/2020,63,53,-0.1,0.426,0.422,,-124.06,-117.92,-17.51,-16.70,16.00,15.70
IRN,5/6/2020,53,43,-0.1,0.441,0.441,,-109.07,-109.32,-15.56,-15.63,15.41,15.72
IRN,5/6/2020,43,33,-0.1,0.436,0.427,,-118.42,-121.77,-16.67,-17.11,14.91,15.11
IRN,5/6/2020,33,23,-0.1,0.435,0.419,0.43,-137.31,-143.66,-19.09,-20.09,15.40,17.06
IRN,5/6/2020,23,13,-0.1,0.439,0.446,,-159.13,-176.42,-22.09,-24.20,17.59,17.18
IRN,5/6/2020,13,3,-0.1,0.486,0.417,0.508,-177.48,-178.65,-24.20,-24.35,16.16,16.14
IRN,5/6/2020,3,0,0,,,,,,,,,
IRN,5/20/2020,81,71,-0.1,0.459,0.465,,-139.84,-142.44,-18.86,-19.26,11.01,11.62
IRN,5/20/2020,71,61,-0.1,0.458,0.45,,-139.12,-142.44,-18.79,-19.17,11.23,10.95
IRN,5/20/2020,61,51,-0.1,0.452,0.445,,-134.93,-127.58,-18.48,-17.50,12.94,12.44
IRN,5/20/2020,51,41,-0.1,0.479,0.477,,-117.79,-120.58,-16.30,-16.68,12.65,12.88
IRN,5/20/2020,41,31,-0.1,0.459,0.455,0.472,-127.12,-127.36,-17.49,-17.49,12.80,12.57
IRN,5/20/2020,31,21,-0.1,0.458,0.45,,-132.93,-139.71,-18.29,-19.20,13.39,13.93
IRN,5/20/2020,21,11,-0.1,0.482,0.472,0.489,-153.32,-153.72,-20.91,-20.92,13.97,13.62
IRN,5/20/2020,11,1,-0.1,0.452,0.477,,-156.48,-156.72,-21.22,-21.29,13.27,13.59
IRN,5/20/2020,1,0,0,,,,,,,,,
GTH,1/24/2020,81,71,-4,0.099,0.1,,-183.03,-183.07,-23.91,-23.95,8.25,8.53
GTH,1/24/2020,71,61,-6.8,0.197,0.2,,-171.33,-173.11,-23.21,-23.39,14.35,14.01
GTH,1/24/2020,61,51,-5.4,0.223,0.21,,-160.09,-157.47,-21.94,-21.57,15.43,15.09
GTH,1/24/2020,51,41,-3.4,0.235,0.23,,-146.52,-141.47,-20.22,-19.54,15.24,14.85
GTH,1/24/2020,41,31,-2.3,0.258,0.26,,-129.99,-130.48,-17.89,-17.90,13.13,12.72
GTH,1/24/2020,31,21,-1.7,0.277,0.273,,-135.62,-136.21,-18.59,-18.65,13.10,12.99
GTH,1/24/2020,21,11,-1.2,0.289,0.29,,-159.66,-160.53,-21.80,-22.00,14.74,15.47
GTH,1/24/2020,11,1,-0.7,0.274,0.281,,-168.77,-169.05,-22.47,-22.61,10.99,11.83
GTH,1/24/2020,1,0,-0.2,,,,,,,,,
GTH,1/29/2020,85,75,-11.2,0.165,0.165,,-177.13,-177.13,-23.18,-23.18,8.31,8.31
GTH,1/29/2020,75,65,-8.4,0.25,0.244,,-166.60,-166.97,-22.73,-22.80,15.24,15.43
GTH,1/29/2020,65,55,-5.9,0.243,0.249,,-155.43,-155.58,-21.24,-21.28,14.49,14.66
GTH,1/29/2020,55,45,-4.3,0.26,0.252,,-133.41,-131.75,-18.50,-18.27,14.59,14.41
GTH,1/29/2020,45,35,-3.1,0.284,0.28,,-132.33,-133.52,-18.07,-18.28,12.23,12.72
GTH,1/29/2020,35,25,-2.2,0.277,0.283,,-139.71,-140.53,-19.19,-19.30,13.81,13.87
GTH,1/29/2020,25,15,-1.4,0.295,0.31,,-173.23,-169.13,-23.53,-23.07,15.01,15.43
GTH,1/29/2020,15,5,-0.1,0.324,0.307,,-185.59,-182.82,-24.84,-24.53,13.13,13.42
GTH,1/29/2020,5,0,,,,,,,,,,
GTH,2/5/2020,73,63,-18.8,0.169,0.166,,-147.33,-139.99,-20.12,-19.31,13.63,14.49
GTH,2/5/2020,63,53,-14.6,0.239,0.239,,-166.09,-166.06,-22.67,-22.58,15.27,14.58
GTH,2/5/2020,53,43,-8.7,0.234,0.234,,-145.42,-148.69,-20.01,-20.41,14.66,14.59
GTH,2/5/2020,43,33,-5.7,0.254,0.248,,-130.32,-130.22,-17.98,-17.97,13.52,13.54
GTH,2/5/2020,33,23,-3.7,0.271,0.27,,-136.46,-135.97,-18.73,-18.62,13.38,12.99
GTH,2/5/2020,23,13,-2.5,0.278,0.281,,-150.94,-153.14,-20.67,-20.97,14.42,14.62
GTH,2/5/2020,13,3,-1.6,0.28,0.283,,-173.37,-173.70,-23.19,-23.32,12.15,12.86
GTH,2/5/2020,3,0,,,,,,,,,,
GTH,2/12/2020,100,90,-6.4,0.108,0.109,,-116.42,-116.26,-16.18,-16.15,13.02,12.94
GTH,2/12/2020,90,80,-6.5,0.199,0.19,,-160.70,-158.79,-21.38,-21.18,10.34,10.65
GTH,2/12/2020,80,70,-5,0.24,0.246,,-172.31,-170.33,-22.65,-22.36,8.89,8.55
GTH,2/12/2020,70,60,-4,0.267,0.264,,-165.73,-166.17,-22.71,-22.73,15.95,15.67
GTH,2/12/2020,60,50,-2.9,0.249,0.246,,-154.43,-154.41,-21.23,-21.22,15.41,15.35
GTH,2/12/2020,50,40,-2.2,0.269,0.266,,-129.71,-129.83,-18.08,-18.08,14.93,14.81
GTH,2/12/2020,40,30,-1.6,0.285,0.283,,-134.86,-134.45,-18.57,-18.47,13.70,13.31
GTH,2/12/2020,30,20,-1.1,0.285,0.287,,-139.96,-141.30,-19.30,-19.47,14.44,14.46
GTH,2/12/2020,20,10,-0.8,0.31,0.306,,-170.95,-169.99,-23.31,-23.30,15.53,16.41
GTH,2/12/2020,10,0,,,,,,,,,,
GTH,2/19/2020,96,86,-3.4,0.128,0.132,,-151.75,-151.67,-20.35,-20.32,11.05,10.89
GTH,2/19/2020,86,76,-5.2,0.189,0.189,,-147.62,-150.23,-19.84,-20.16,11.10,11.05
GTH,2/19/2020,76,66,-4.8,0.234,0.235,,-168.44,-168.79,-22.24,-22.31,9.48,9.69
GTH,2/19/2020,66,56,-3.7,0.274,0.278,,-166.91,-165.29,-22.75,-22.64,15.09,15.83
GTH,2/19/2020,56,46,-2.8,0.253,0.253,,-153.65,-155.70,-21.21,-21.44,16.03,15.82
GTH,2/19/2020,46,36,-2,0.26,0.262,,-130.85,-130.52,-18.25,-18.16,15.15,14.76
GTH,2/19/2020,36,26,-1.5,0.283,0.286,,-134.85,-134.89,-18.58,-18.54,13.79,13.43
GTH,2/19/2020,26,16,-1,0.289,0.289,,-148.16,-150.80,-20.45,-20.78,15.44,15.44
GTH,2/19/2020,16,6,-0.7,0.303,0.306,,-171.94,-171.69,-23.38,-23.17,15.10,13.67
GTH,2/19/2020,6,0,,,,,,,,,,
GTH,2/26/2020,103,93,-15.2,0.145,0.145,,-143.62,-143.67,-19.10,-19.07,9.18,8.89
GTH,2/26/2020,93,83,-13,0.213,0.214,,-143.47,-142.15,-19.40,-19.20,11.73,11.45
GTH,2/26/2020,83,73,-7.7,0.265,0.264,,-165.63,-168.23,-21.66,-21.98,7.65,7.61
GTH,2/26/2020,73,63,-5.1,0.271,0.262,,-172.12,-171.37,-22.93,-22.70,11.32,10.23
GTH,2/26/2020,63,53,-3.8,0.278,0.277,,-160.59,-158.57,-21.99,-21.77,15.33,15.59
GTH,2/26/2020,53,43,-2.9,0.271,0.267,,-139.02,-139.72,-19.26,-19.33,15.06,14.92
GTH,2/26/2020,43,33,-2.2,0.28,0.284,,-130.40,-129.87,-17.99,-17.93,13.52,13.57
GTH,2/26/2020,33,23,-1.7,0.294,0.294,,-138.52,-139.56,-19.04,-19.19,13.80,13.96
GTH,2/26/2020,23,13,-1.2,0.309,0.31,,-170.70,-166.09,-23.19,-22.66,14.82,15.19
GTH,2/26/2020,13,3,-0.8,0.297,0.301,,-173.60,-175.24,-22.91,-23.47,9.68,12.52
GTH,2/26/2020,3,0,-0.2,,,,,,,,,
GTH,3/11/2020,100,90,-0.2,0.213,0.217,,-148.04,-148.66,-19.09,-19.10,4.72,4.18
GTH,3/11/2020,90,80,-2,0.247,0.248,,-129.20,-129.44,-16.94,-17.02,6.30,6.70
GTH,3/11/2020,80,70,-2.5,0.261,0.26,,-108.67,-108.51,-14.35,-14.28,6.16,5.72
GTH,3/11/2020,70,60,-1.9,0.265,0.265,,-89.96,-89.03,-12.08,-11.83,6.65,5.64
GTH,3/11/2020,60,50,-1.5,0.273,0.276,,-97.85,-96.99,-12.36,-12.26,1.05,1.06
GTH,3/11/2020,50,40,-1.1,0.263,0.265,,-116.45,-120.67,-14.79,-15.32,1.87,1.91
GTH,3/11/2020,40,30,-0.8,0.281,0.281,,-126.95,-126.04,-16.22,-16.08,2.78,2.61
GTH,3/11/2020,30,20,-0.7,0.29,0.293,,-118.58,-115.44,-15.04,-14.69,1.75,2.04
GTH,3/11/2020,20,10,-0.5,0.312,0.306,,-91.12,-94.21,-11.75,-12.00,2.84,1.78
GTH,3/11/2020,10,0,-0.3,,,,,,,,,
GTH,3/25/2020,117,107,-0.7,0.235,0.225,,-134.21,-112.12,-18.71,-14.25,15.46,1.90
GTH,3/25/2020,107,97,-0.3,0.215,0.202,,-200.12,-61.73,-26.37,-8.50,10.81,6.30
GTH,3/25/2020,97,87,-0.3,0.36,0.355,,-122.65,-137.69,-16.71,-18.06,11.00,6.76
GTH,3/25/2020,87,77,-0.2,0.314,0.322,,-132.94,-124.71,-17.88,-16.46,10.07,6.95
GTH,3/25/2020,77,67,-0.2,0.32,0.306,,-154.65,-103.03,-20.66,-13.72,10.62,6.69
GTH,3/25/2020,67,57,-0.4,0.323,0.32,,-168.04,-89.50,-22.48,-11.81,11.81,5.00
