Site,date,top (cm),bottom (cm),T (C) ,densityA (g/cm3),densityB (g/cm3),density C (g/cm3),dH A (permil),dH B (permil),dO A (permil),dO B (permil),dexcess (permil),dexcess B (permil)
PLM1sp,4/3/2017,29,19,-0.75,0.482,0.483,,-158.19,-157.57,-21.26,-21.37,11.91,13.42
PLM1sp,4/3/2017,19,9,-0.75,0.501,0.489,,-145.17,-144.61,-19.44,-19.52,10.35,11.57
PLM1sp,4/3/2017,9,0,-1,0.473,0.454,,-139.78,-146.92,-18.64,-19.81,9.34,11.56
USGSP,4/2/2017,207,197,-0.5,0.198,0.148,,-139.92,,-18.9,,11.25,
USGSP,4/2/2017,197,187,-0.5,0.22,0.248,,-123.05,-142.31,-16.58,-19.17,9.57,11.08
USGSP,4/2/2017,187,177,-1.5,0.34,0.315,,-141.95,-114.92,-19.82,-15.63,16.62,10.16
USGSP,4/2/2017,177,167,-1,0.327,0.3,,-134.34,-141.4,-18.12,-19.58,10.65,15.27
USGSP,4/2/2017,167,157,-0.5,0.31,0.324,,-111.34,-133.69,-15.36,-17.99,11.51,10.25
USGSP,4/2/2017,157,147,-0.5,0.347,0.334,,-115.28,-107.32,-15.63,-14.76,9.73,10.74
USGSP,4/2/2017,147,137,-0.25,0.38,0.382,,-116.82,-119.08,-16.33,-16.06,13.82,9.44
USGSP,4/2/2017,137,127,-0.5,0.395,0.388,,-145.35,-121.31,-19.63,-16.81,11.69,13.14
USGSP,4/2/2017,127,117,-0.25,0.392,0.389,,-163.95,-157.9,-21.99,-21.13,11.94,11.11
USGSP,4/2/2017,117,107,0,0.404,0.416,,-127.12,-146.36,-17.86,-20.18,15.76,15.06
USGSP,4/2/2017,107,97,0,0.408,0.406,,-136.82,-135.43,-18.68,-18.49,12.66,12.48
USGSP,4/2/2017,97,87,0,0.424,0.415,,-147.58,-132.58,-19.9,-18.35,11.66,14.22
USGSP,4/2/2017,87,77,0,0.452,0.433,,-161.21,-162.27,-21.5,-21.59,10.78,10.47
USGSP,4/2/2017,77,67,0,0.453,0.449,,-160.74,-162,-21.47,-21.64,11.03,11.16
USGSP,4/2/2017,67,57,0,0.448,0.456,,-146.71,-147.58,-20.23,-20.36,15.09,15.34
USGSP,4/2/2017,57,47,0,0.435,0.438,,-163.21,-155.26,-21.88,-21.11,11.81,13.63
USGSP,4/2/2017,47,37,0,0.455,0.427,,-177.45,-185.67,-23.47,-24.58,10.3,10.98
USGSP,4/2/2017,37,27,0,0.442,0.433,,-145.82,-164.14,-19.82,-22.06,12.74,12.31
USGSP,4/2/2017,27,17,0,0.4,0.424,,-150.45,-148.96,-21.04,-20.62,17.91,16.01
USGSP,4/2/2017,17,7,0,0.398,0,,-144.43,-146.46,-19.87,-20.21,14.52,15.25
USGSP,4/2/2017,7,0,0,,,,,,,,,
LMWLSP,4/3/2017,156,146,-0.75,0.247,0.252,,-120.83,-121.95,-16.24,-16.353448,9.08,8.88
LMWLSP,4/3/2017,146,136,-0.75,0.358,0.367,,-128.68,-130.02,-17.64,-17.78,12.48,12.25
LMWLSP,4/3/2017,136,126,-0.75,0.331,0.349,,-127.89,-119.41,-17.31,-15.96,10.56,8.29
LMWLSP,4/3/2017,126,116,-0.75,0.332,0.348,,-114.65,-116.26,-15.49,-15.8,9.26,10.15
LMWLSP,4/3/2017,116,106,-0.75,0.367,0.369,,-128.58,-135.13,-17.61,-18.54,12.27,13.2
LMWLSP,4/3/2017,106,96,-0.75,0.365,0.374,,-166.47,-166.25,-22.39,-22.42,12.61,13.12
LMWLSP,4/3/2017,96,86,-0.75,0.392,0.406,,-137.42,-135.64,-18.69,-18.63,12.12,13.39
LMWLSP,4/3/2017,86,76,-1,0.392,0.395,,-135.5,-134.25,-18.24,-17.98,10.43,9.59
LMWLSP,4/3/2017,76,66,-1,0.411,0.413,,-155.77,-159.01,-20.49,-20.86,8.14,7.88
LMWLSP,4/3/2017,66,56,-0.75,0.43,0.424,,-161.19,-160.91,-21.33,-21.34,9.48,9.8
LMWLSP,4/3/2017,56,46,-0.75,0.425,0.425,,-151.19,-147.64,-20.38,-20.21,11.88,14.04
LMWLSP,4/3/2017,46,36,-1,0.412,0.411,,-164.68,-161.76,-21.92,-21.39,10.69,9.39
LMWLSP,4/3/2017,36,26,-1,0.41,0.415,,-176.84,-180.92,-23.09,-23.56,7.91,7.54
LMWLSP,4/3/2017,26,16,-0.75,0.395,0.418,,-149.87,-151.69,-20.39,-20.44,13.24,11.83
LMWLSP,4/3/2017,16,6,-0.75,0.362,0.397,,-145.07,-149.73,-19.81,-20.77,13.45,16.45
LMWLSP,4/3/2017,6,0,-1,,,,,,,,,
JFSP,4/5/2017,129,119,0,0.277,0.271,,-136.21,-137.77,-17.99,-18.375409,7.7,9.24
JFSP,4/5/2017,119,109,0.5,0.431,0.428,,-115.05,-111.94,-15.14,-14.85,6.05,6.82
JFSP,4/5/2017,109,99,0.5,0.485,0.494,,-119.61,-117.67,-16.07,-15.48,8.98,6.16
JFSP,4/5/2017,99,89,0,0.485,0.464,,-135.59,-137.43,-18.04,-18.28,8.76,8.81
JFSP,4/5/2017,89,79,0,0.468,0.468,,-129.71,-125.05,-17.44,-17.09,9.82,11.63
JFSP,4/5/2017,79,69,0,0.502,0.478,,-130.08,-134.62,-17.81,-18.31,12.38,11.82
JFSP,4/5/2017,69,59,0,0.455,0.488,,-131.36,-137.78,-17.65,-18.52,9.86,10.39
JFSP,4/5/2017,59,49,0.5,0.495,0.493,,-140.8,-150.85,-18.88,-20.14,10.25,10.26
JFSP,4/5/2017,49,39,0,0.498,0.496,,-145.62,-156.27,-19.32,-20.86,8.95,10.64
JFSP,4/5/2017,39,29,0.5,0.512,0.487,,-143.22,-148.06,-19.38,-19.99,11.8,11.85
JFSP,4/5/2017,29,19,0.5,0.487,0.48,,-144.4,-155.82,-19.54,-21,11.91,12.2
JFSP,4/5/2017,19,9,0.5,0.491,0.464,,-157.58,-170.53,-21.04,-22.67,10.73,10.86
JFSP,4/5/2017,9,0,0,,,,,,,,,
