Location,Type,date,dO (per mil),dH (permill)
LMWL,rain,6/29/2016,-8.01,-59.55
LMWL,rain,7/18/2016,1.03,-4.09
LMWL,rain,7/19/2016,-4.07,-26.25
LMWL,rain,7/21/2016,-6.46,-46.09
LMWL,rain,7/8/2016,-8.384963,-61.337038
LMWL,rain,7/20/2016,-3.632498,-24.566728
LMWL,rain,7/21/2016,-7.655309,-46.376757
LMWL,rain,7/22/2016,-7.657333,-48.147328
LMWL,rain,8/5/2016,-9.052876,-60.372528
LMWL,rain,8/6/2016,-12.513195,-85.270805
LMWL,rain,8/12/2016,-4.33561,-19.936272
LMWL,rain,8/19/2016,0,-48.482789
LMWL,gropple,10/12/2014,-11.49,-79.89
LMWL,rain/snow mix,10/22/2014,-11.54,-73.17
LMWL,rain/gropple,10/27/2014,-9.91,-66.09
LMWL,snow ,11/2/2014,-11.45,-73.47
LMWL,snow ,11/3/2014,-15.18,-96.92
LMWL,snow ,11/10/2014,-16.77,-120.43
LMWL,snow ,11/13/2014,-19.82,-145.37
LMWL,snow ,11/14/2014,-15.59,-107.42
LMWL,snow ,11/24/2014,-25.56,-193.09
LMWL,snow ,11/25/2014,-16.21,-120.86
LMWL,snow ,12/1/2014,-16.12,-108.62
LMWL,snow ,12/3/2014,-19.92,-157.34
LMWL,snow ,9/29/2014,-12.99,-81.22
LMWL,snow ,12/20/2014,-21.6,-160.33
LMWL,snow ,1/11/2015,-24.83,-187.79
LMWL,snow ,1/28/2015,-12.57,-88.18
LMWL,snow ,1/30/2015,-25.93,-197.27
LMWL,snow ,2/3/2015,-14.8,-107.04
LMWL,snow ,2/4/2015,-19.34,-143.53
LMWL,snow ,2/22/2015,-22.86,-169.6
LMWL,snow ,2/28/2015,-16.51,-116.37
LMWL,snow ,3/1/2015,-17.8,-128.1
LMWL,snow ,3/2/2015,-20.9,-151.38
LMWL,snow ,3/3/2015,-19.71,-138.7
LMWL,snow ,3/24/2015,-16.88,-124.97
LMWL,snow ,4/1/2015,-8.46,-51.62
LMWL,rain then snow/rain mix,5/3/2015,-11.53,-73.1
LMWL,heavy snow,5/19/2015,-19.44,-138.36
LMWL,snow ,5/23/2015,-12.59,-76.88
LMWL,snow ,5/24/2015,-18.73,-133.01
LMWL,snow ,5/25/2015,-27.16,-203.6
LMWL,snow ,11/4/2015,-16.79,-113.04
LMWL,snow ,11/6/2015,-17.53,-118.97
LMWL,snow,11/11/2015,-27.58,-200.32
LMWL,snow,11/16/2015,-20.75,-146.44
LMWL,snow,11/30/2015,-22.65,-164.97
LMWL,snow,12/5/2015,-22.12,-165.63
LMWL,snow,12/12/2015,-20.18,-151.55
LMWL,snow,12/20/2015,-13.71,-86.26
LMWL,snow,12/21/2015,-18.4,-145.84
LMWL,snow,12/22/2015,-28.67,-224.73
LMWL,snow,1/7/2016,-24.6,-181.15
LMWL,snow,1/15/2016,-20.56,-150.56
LMWL,snow,1/17/2016,-20.96,-153.02
LMWL,snow,1/24/2016,-22.94,-167.07
LMWL,snow,2/15/2016,-18.99,-149.1
LMWL,snow,2/19/2016,-12.88,-89.81
LMWL,snow,3/7/2016,-14.37,-101.57
LMWL,snow,3/15/2016,-11.15,-79.18
LMWL,snow,3/16/2016,-22.77,-168.75
LMWL,snow,3/23/2016,-25.99,-198.74
LMWL,snow,3/25/2016,-17.3,-123.02
LMWL,snow,3/26/2016,-16.88,-115.03
LMWL,snow,3/30/2016,-13.87,-95.1
LMWL,snow,5/6/2016,-6.42,-40.09
LMWL,snow,5/9/2016,-14.71,-107.95
LMWL,snow,5/9/2016,-10.37,-67.33
LMWL,snow,5/10/2016,-13.24,-89.27
LMWL,snow,5/5/2016,-10.86,-69.52
LMWL,snow,5/16/2016,-15.3,-110.12
