ï»¿Site,date,top (cm),bottom (cm),T (C) ,density A (g/cm3),density B (g/cm3),density C (g/cm3),dH A (permil),dH B (permil),dO A (permil),dO B (permil),dexcess A (permil),dexcess B (permil)
IRN,4/8/19,58,48,,0.416,0.426,,-154.30,-170.91,-21.04,-23.14,14.02,14.21
IRN,4/8/19,48,38,,0.425,0.427,,-172.64,-155.83,-23.19,-21.34,12.88,14.89
IRN,4/8/19,38,28,,0.435,0.406,0.447,-143.00,-145.43,-19.49,-20.10,12.92,15.37
IRN,4/8/19,28,18,,0.433,0.432,,-125.63,-127.20,-17.36,-17.84,13.25,15.52
IRN,4/8/19,18,8,,0.385,0.362,,-125.65,-125.60,-16.93,-17.56,9.79,14.88
IRN,4/8/19,8,0,,,,,,,,,,
OPSP,4/6/19,264,254,,0.327,0.354,,-122.96,-126.43,-16.94,-17.49,12.52,13.50
OPSP,4/6/19,254,244,,0.386,0.387,,-104.67,-120.68,-14.63,-16.56,12.33,11.81
OPSP,4/6/19,244,234,,0.442,0.416,,-133.58,-125.51,-17.97,-17.25,10.20,12.46
OPSP,4/6/19,234,224,,0.374,0.431,,-77.69,-89.30,-11.57,-13.22,14.86,16.44
OPSP,4/6/19,224,214,,0.393,0.358,,-92.93,-97.93,-13.26,-13.96,13.14,13.74
OPSP,4/6/19,214,204,,0.432,0.341,,-122.86,-142.01,-16.85,-19.27,11.90,12.13
OPSP,4/6/19,204,194,,0.406,0.332,,-147.73,-165.43,-19.84,-22.14,10.96,11.71
OPSP,4/6/19,194,184,,0.375,0.353,,-111.90,-141.60,-15.67,-19.23,13.45,12.20
OPSP,4/6/19,184,174,,0.435,0.395,,-107.79,-145.12,-15.09,-19.45,12.95,10.50
OPSP,4/6/19,174,164,,0.402,0.396,,-158.96,-176.94,-21.50,-23.61,13.05,11.95
OPSP,4/6/19,164,154,,0.427,0.408,,-151.91,-137.60,-20.34,-14.97,10.82,-17.86
OPSP,4/6/19,154,144,,0.378,0.382,,-155.77,-170.48,-20.80,-22.64,10.60,10.61
OPSP,4/6/19,144,134,,0.45,0.398,,-127.60,-146.00,-17.96,-20.16,16.11,15.28
OPSP,4/6/19,134,124,,0.408,0.409,,-139.26,-117.24,-18.83,-16.89,11.38,17.87
OPSP,4/6/19,124,114,,0.428,0.381,,-139.31,-137.35,-19.10,-18.82,13.53,13.19
OPSP,4/6/19,114,104,,0.415,0.414,,-151.01,-147.55,-20.07,-19.95,9.56,12.03
OPSP,4/6/19,104,94,,0.403,0.427,,-161.20,-160.16,-21.40,-21.37,9.97,10.80
OPSP,4/6/19,94,84,,0.435,0.429,,-192.12,-178.41,-25.51,-23.87,11.96,12.57
OPSP,4/6/19,84,74,,0.417,0.448,,-162.18,-183.07,-21.99,-24.62,13.77,13.88
OPSP,4/6/19,74,64,,0.413,0.447,,-151.70,-156.69,-20.99,-21.46,16.20,14.97
OPSP,4/6/19,64,54,,0.398,0.457,,-169.99,-153.54,-23.02,-19.77,14.16,4.58
OPSP,4/6/19,54,44,,0.411,0.409,,-142.61,-144.41,-19.53,-19.87,13.63,14.56
OPSP,4/6/19,44,34,,0.393,0.406,,-134.20,-131.25,-18.44,-18.15,13.30,13.98
OPSP,4/6/19,34,24,,0.352,0.386,,-128.78,-128.26,-17.83,-17.81,13.85,14.25
OPSP,4/6/19,24,14,,0.334,0.356,,-122.88,-127.48,-16.74,-17.58,11.05,13.12
OPSP,4/6/19,14,4,,0.334,0.356,,-118.50,-120.62,-16.26,-16.47,11.56,11.12
OPSP,4/6/19,4,0,,,,,,,,,,
USGSP_1,2/19/19,163,153,-14.7,0.103,0.101,,-178.07,-177.42,-24.05,-23.96,14.33,14.23
USGSP_1,2/19/19,153,143,-12,0.158,0.154,,-158.22,-158.24,-21.00,-20.97,9.81,9.52
USGSP_1,2/19/19,143,133,-10.8,0.153,0.151,,-206.24,-211.32,-26.70,-27.36,7.35,7.56
USGSP_1,2/19/19,133,123,-10.4,0.176,0.176,,-209.30,-200.76,-27.17,-26.19,8.09,8.74
USGSP_1,2/19/19,123,113,-9,0.215,0.214,,-171.27,-176.15,-22.94,-23.61,12.27,12.75
USGSP_1,2/19/19,113,103,-7.9,0.261,0.253,0.256,-123.88,-118.24,-17.66,-16.84,17.41,16.49
USGSP_1,2/19/19,103,93,-7,0.267,0.267,,-158.03,-158.68,-20.92,-20.97,9.32,9.10
USGSP_1,2/19/19,93,83,-6.2,0.272,0.289,,-155.30,-155.91,-20.72,-20.72,10.50,9.81
USGSP_1,2/19/19,83,73,-5.5,0.304,0.32,,-175.58,-174.86,-23.11,-22.96,9.32,8.83
USGSP_1,2/19/19,73,63,-4.9,0.323,0.322,,-196.01,-198.49,-25.88,-26.34,11.01,12.23
USGSP_1,2/19/19,63,53,-4.4,0.318,0.318,,-180.71,-178.63,-24.11,-23.82,12.21,11.94
USGSP_1,2/19/19,53,43,-4.2,0.321,0.288,0.311,-153.64,-145.86,-20.71,-19.56,12.01,10.66
USGSP_1,2/19/19,43,33,-3.4,0.326,0.407,0.305,-154.58,-144.36,-20.84,-19.47,12.10,11.37
USGSP_1,2/19/19,33,23,-3,0.32,0.326,,-136.03,-136.52,-18.43,-18.52,11.43,11.63
USGSP_1,2/19/19,23,13,-2.5,0.31,0.318,,-133.21,-133.45,-18.20,-18.24,12.41,12.47
USGSP_1,2/19/19,13,3,-2,0.268,0.273,,-128.88,-128.98,-17.13,-17.22,8.18,8.82
USGSP_1,2/19/19,3,0,-1.9,,,,,,,,,
USGSP_2,4/7/19,195,185,0.5,0.372,0.33,,-125.15,-125.29,-16.76,-16.57,8.89,7.28
USGSP_2,4/7/19,185,175,0,0.285,0.275,,-125.57,-123.21,-17.10,-16.66,11.20,10.04
USGSP_2,4/7/19,175,165,0,0.325,0.293,,-89.20,-83.61,-13.13,-12.31,15.87,14.85
USGSP_2,4/7/19,165,155,0,0.306,0.295,,-114.70,-105.03,-16.01,-14.65,13.40,12.16
USGSP_2,4/7/19,155,145,0,0.32,0.321,,-147.37,-154.28,-19.49,-20.67,8.57,11.05
USGSP_2,4/7/19,145,135,0,0.322,0.325,,-175.07,-176.14,-23.34,-23.31,11.61,10.32
USGSP_2,4/7/19,135,125,0,0.348,0.342,,-121.00,-126.20,-16.89,-17.37,14.08,12.74
USGSP_2,4/7/19,125,115,0,0.372,0.37,,-168.90,-155.68,-22.66,-20.81,12.35,10.82
USGSP_2,4/7/19,115,105,0,0.368,0.364,,-189.71,-189.02,-24.83,-24.68,8.92,8.45
USGSP_2,4/7/19,105,95,0,0.38,0.365,,-152.61,-169.02,-20.88,-22.54,14.43,11.32
USGSP_2,4/7/19,95,85,0,0.379,0.373,,-123.86,-142.16,-13.48,-19.35,-16.00,12.62
USGSP_2,4/7/19,85,75,0,0.372,0.374,,-133.21,-161.31,-14.53,-21.35,-16.94,9.53
USGSP_2,4/7/19,75,65,0,0.38,0.392,,-190.58,-183.20,-25.28,-24.14,11.67,9.95
USGSP_2,4/7/19,65,55,0,0.371,0.378,,-190.30,-190.60,-25.34,-25.27,12.42,11.56
USGSP_2,4/7/19,55,45,0,0.361,0.364,,-157.81,-159.70,-21.35,-21.49,12.96,12.19
USGSP_2,4/7/19,45,35,0,0.352,0.344,,-148.93,-149.54,-20.18,-20.06,12.55,10.92
USGSP_2,4/7/19,35,25,0,0.364,0.369,,-137.32,-138.77,-18.69,-18.77,12.17,11.42
USGSP_2,4/7/19,25,15,0,0.331,0.334,,-132.67,-133.04,-18.01,-18.04,11.41,11.31
USGSP_2,4/7/19,15,5,0,0.321,0.329,,-125.06,-125.86,-16.62,-16.71,7.91,7.84
USGSP_2,4/7/19,5,0,0,,,,,,,,,
USGSP_3,6/2/19,147,137,0.5,0.425,0.43,,-94.71,-133.29,-12.90,-17.80,8.51,9.15
USGSP_3,6/2/19,137,127,0,0.41,0.44,,-108.33,-133.37,-14.57,-17.80,8.24,9.01
USGSP_3,6/2/19,127,117,-0.1,0.43,0.415,,-126.65,-134.56,-16.92,-18.18,8.69,10.87
USGSP_3,6/2/19,117,107,-0.1,0.48,0.45,,-135.60,-146.64,-18.09,-19.71,9.13,11.05
USGSP_3,6/2/19,107,97,-0.1,0.42,0.41,,-166.35,-166.68,-22.01,-22.10,9.72,10.14
USGSP_3,6/2/19,97,87,-0.1,0.42,0.435,,-153.35,-168.68,-20.57,-22.46,11.19,10.98
USGSP_3,6/2/19,87,77,-0.1,0.395,0.41,,-166.69,-167.04,-22.04,-22.07,9.62,9.52
USGSP_3,6/2/19,77,67,-0.1,0.405,0.445,,-173.89,-159.69,-23.05,-21.11,10.52,9.21
USGSP_3,6/2/19,67,57,-0.1,0.422,0.42,,-173.45,-148.15,-23.01,-19.87,10.62,10.84
USGSP_3,6/2/19,57,47,-0.1,0.438,0.42,,-166.77,-166.38,-22.22,-21.95,10.99,9.19
USGSP_3,6/2/19,47,37,-0.1,0.375,0.435,0.415,-147.84,5.92,-19.91,1.26,11.47,-4.16
USGSP_3,6/2/19,37,27,-0.1,0.399,0.403,,-137.68,-132.75,-18.61,-17.61,11.23,8.14
USGSP_3,6/2/19,27,17,-0.1,0.413,0.42,,-144.11,-105.87,-19.45,-14.17,11.46,7.50
USGSP_3,6/2/19,17,7,-0.1,0.407,0.4,,-136.47,-96.41,-18.23,-13.01,9.35,7.64
USGSP_3,6/2/19,7,0,-0.1,,,,,,,,,
MSGSP_1,4/8/19,142,132,0.2,0.291,0.318,,-113.53,-104.92,-15.09,-14.30,7.17,9.50
MSGSP_1,4/8/19,132,122,-0.1,0.315,0.318,,-101.85,-93.21,-14.38,-13.39,13.16,13.90
MSGSP_1,4/8/19,122,112,-0.4,0.319,0.323,,-119.28,-116.35,-16.25,-16.22,10.72,13.41
MSGSP_1,4/8/19,112,102,-0.3,0.307,0.321,,-164.86,-148.80,-21.79,-20.11,9.48,12.11
MSGSP_1,4/8/19,102,92,-0.3,0.325,0.327,,-133.73,-135.30,-18.08,-18.61,10.89,13.60
MSGSP_1,4/8/19,92,82,-0.2,0.352,0.361,,-150.32,-142.05,-19.97,-19.22,9.41,11.69
MSGSP_1,4/8/19,82,72,-0.3,0.355,0.35,,-174.95,-171.88,-22.84,-22.68,7.74,9.54
MSGSP_1,4/8/19,72,62,-0.3,0.365,0.369,,-148.64,-149.25,-19.75,-20.10,9.35,11.55
MSGSP_1,4/8/19,62,52,-0.3,0.342,0.337,,-157.08,-158.33,-20.48,-20.90,6.80,8.88
MSGSP_1,4/8/19,52,42,-0.3,0.344,0.336,,-172.55,-171.32,-22.49,-22.56,7.40,9.15
MSGSP_1,4/8/19,42,32,-0.2,0.34,0.352,,-174.97,-168.27,-22.92,-22.27,8.39,9.90
MSGSP_1,4/8/19,32,22,-0.1,0.298,0.316,,-147.53,-146.32,-19.54,-19.64,8.78,10.82
MSGSP_1,4/8/19,22,12,0,0.31,0.312,,-136.82,-131.77,-18.21,-17.78,8.90,10.50
MSGSP_1,4/8/19,12,2,0,0.299,0.295,,-127.70,-120.79,-17.02,-16.14,8.48,8.36
MSGSP_1,4/8/19,2,0,0,,,,,,,,,
MSGSP_2,6/2/19,90,80,0,0.5,0.495,,-139.52,-144.84,-18.48,-19.12,8.29,8.15
MSGSP_2,6/2/19,80,70,-0.1,0.485,0.47,,-138.99,-143.16,-18.72,-19.24,10.75,10.78
MSGSP_2,6/2/19,70,60,-0.1,0.42,0.45,,-158.59,-153.68,-21.06,-20.50,9.93,10.34
MSGSP_2,6/2/19,60,50,-0.1,0.445,0.425,,-180.01,-178.69,-23.80,-23.71,10.36,10.99
MSGSP_2,6/2/19,50,40,-0.1,0.43,0.428,,-186.54,-165.90,-24.75,-22.45,11.44,13.69
MSGSP_2,6/2/19,40,30,-0.1,0.415,0.385,,-164.59,-155.14,-22.14,-21.08,12.56,13.47
MSGSP_2,6/2/19,30,20,-0.1,0.395,0.365,,-141.57,-152.19,-19.06,-20.71,10.94,13.51
MSGSP_2,6/2/19,20,10,-0.1,0.41,0.407,,-137.48,-139.35,-18.51,-18.88,10.59,11.71
MSGSP_2,6/2/19,10,0,-0.1,0.38,0.46,0.42,,,,,,
LSGSP_1,2/21/19,121,111,-8.8,0.139,0.14,,-185.80,-185.79,-24.83,-24.84,12.81,12.89
LSGSP_1,2/21/19,111,101,-8.4,0.17,0.17,,-170.69,-187.65,-22.58,-24.45,9.93,7.97
LSGSP_1,2/21/19,101,91,-6.9,0.186,0.196,,-208.41,-194.83,-27.13,-25.47,8.61,8.93
LSGSP_1,2/21/19,91,81,-5.8,0.228,0.233,,-159.76,-164.13,-21.28,-21.72,10.46,9.66
LSGSP_1,2/21/19,81,71,-5.1,0.266,0.271,,-149.20,,-19.99,,10.70,
LSGSP_1,2/21/19,71,61,-4.4,0.283,0.283,,-178.43,-183.34,-23.32,-24.09,8.16,9.42
LSGSP_1,2/21/19,61,51,-3.7,0.296,0.303,,-202.73,-202.58,-26.75,-26.95,11.24,12.98
LSGSP_1,2/21/19,51,41,-3,0.29,0.296,,-181.57,-180.28,-24.23,-24.23,12.28,13.56
LSGSP_1,2/21/19,41,31,-2.4,0.261,0.256,,-158.57,-159.66,-21.44,-21.74,12.92,14.26
LSGSP_1,2/21/19,31,21,-1.7,0.341,0.269,,-150.00,-145.45,-20.22,-19.71,11.77,12.22
LSGSP_1,2/21/19,21,11,-1.2,0.291,0.294,,-137.96,-137.24,-18.70,-18.65,11.60,11.93
LSGSP_1,2/21/19,11,1,-0.6,0.31,0.29,,-133.73,-131.76,-18.05,-17.99,10.65,12.17
LSGSP_1,2/21/19,1,0,,,,,,,,,,
LSGSP_2,4/7/19,134,124,0.8,0.457,0.46,0.45,,,,,,
LSGSP_2,4/7/19,124,114,1,0.465,0.459,,,,,,,
LSGSP_2,4/7/19,114,104,0.5,0.428,0.434,,,,,,,
LSGSP_2,4/7/19,104,94,0.5,0.415,0.402,,,,,,,
LSGSP_2,4/7/19,94,84,0.2,0.465,0.498,,,,,,,
LSGSP_2,4/7/19,84,74,0.2,0.402,0.365,,,,,,,
LSGSP_2,4/7/19,74,64,0.2,0.458,0.364,0.485,,,,,,
LSGSP_2,4/7/19,64,54,0.2,0.36,0.373,,,,,,,
LSGSP_2,4/7/19,54,44,0.2,0.398,0.389,,,,,,,
LSGSP_2,4/7/19,44,34,0.2,0.358,0.388,,,,,,,
LSGSP_2,4/7/19,34,24,0.2,0.37,0.351,,,,,,,
LSGSP_2,4/7/19,24,14,0.2,0.43,0.335,0.37,,,,,,
LSGSP_2,4/7/19,14,4,0,0.331,0.37,,,,,,,
LSGSP_2,4/7/19,4,0,0,,,,,,,,,
JFSP,4/8/19,141,131,0.8,0.405,0.415,,-97.62,-96.47,-13.36,-13.47,9.26,11.29
JFSP,4/8/19,131,121,0.2,0.435,0.485,0.42,-108.50,-106.73,-14.70,-14.69,9.10,10.79
JFSP,4/8/19,121,111,0.2,0.394,0.39,,-152.94,-150.80,-20.27,-20.18,9.22,10.64
JFSP,4/8/19,111,101,0.5,0.398,0.435,,-136.80,-126.74,-18.45,-17.36,10.80,12.14
JFSP,4/8/19,101,91,0.3,0.445,0.46,,-152.19,-148.83,-20.24,-19.97,9.73,10.93
JFSP,4/8/19,91,81,0.5,0.39,0.39,,-183.59,-185.29,-23.97,-24.23,8.17,8.55
JFSP,4/8/19,81,71,0.5,0.416,0.41,,-151.29,-152.30,-20.45,-20.67,12.31,13.06
JFSP,4/8/19,71,61,0.2,0.41,0.41,,-149.01,-150.66,-19.91,-20.18,10.27,10.78
JFSP,4/8/19,61,51,0.2,0.405,0.393,,-158.77,-161.27,-20.94,-21.38,8.75,9.77
JFSP,4/8/19,51,41,0.5,0.415,0.405,,-178.82,-180.83,-23.52,-23.93,9.34,10.61
JFSP,4/8/19,41,31,0.1,0.415,0.4,,-195.29,-197.70,-25.78,-26.19,10.95,11.82
JFSP,4/8/19,31,21,0,0.385,0.387,,-173.80,-178.96,-23.13,-23.95,11.24,12.64
JFSP,4/8/19,21,11,0,0.42,0.398,,-157.18,-155.91,-21.20,-21.19,12.42,13.61
JFSP,4/8/19,11,1,0,0.38,0.365,,-152.11,-150.19,-20.33,-20.22,10.53,11.57
JFSP,4/8/19,1,0,0,,,,,,,,,
LMWLSP,4/5/19,157,147,-0.2,0.366,0.396,,-118.94,-116.52,-15.96,-15.87,8.74,10.44
LMWLSP,4/5/19,147,137,-0.2,0.378,0.387,,-93.14,-98.13,-13.21,-14.08,12.54,14.51
LMWLSP,4/5/19,137,127,-0.2,0.343,0.315,,-121.75,-130.06,-16.69,-17.99,11.77,13.86
LMWLSP,4/5/19,127,117,-0.7,0.328,0.315,,-165.41,-167.37,-22.00,-22.25,10.59,10.63
LMWLSP,4/5/19,117,107,-0.8,0.326,0.322,,-137.74,-132.17,-18.82,-18.17,12.82,13.19
LMWLSP,4/5/19,107,97,-1.1,0.343,0.343,,-155.89,-164.33,-20.95,-21.93,11.71,11.11
LMWLSP,4/5/19,97,87,-1.3,0.36,0.36,,-179.88,-189.93,-22.32,-24.82,-1.32,8.63
LMWLSP,4/5/19,87,77,-1.3,0.381,0.372,,-159.35,-165.28,-21.43,-22.15,12.09,11.92
LMWLSP,4/5/19,77,67,-1.3,0.357,0.366,,-161.29,-164.56,-21.56,-22.21,11.19,13.12
LMWLSP,4/5/19,67,57,-1.3,0.363,0.352,,-173.04,-175.53,-22.90,-23.24,10.16,10.39
LMWLSP,4/5/19,57,47,-1.1,0.363,0.348,,-198.48,-196.29,-26.27,-26.11,11.68,12.59
LMWLSP,4/5/19,47,37,-1,0.322,0.335,,-173.14,-176.26,-23.53,-23.95,15.10,15.34
LMWLSP,4/5/19,37,27,-0.8,0.313,0.326,,-160.47,-156.13,-21.93,-21.53,14.97,16.11
LMWLSP,4/5/19,27,17,-0.7,0.348,0.291,,-148.39,-149.51,-20.08,-20.47,12.25,14.25
LMWLSP,4/5/19,17,7,-0.6,0.323,0.321,,-139.03,-133.60,-18.90,-18.37,12.17,13.36
LMWLSP,4/5/19,7,0,-0.4,0.323,0.321,,,,,,,
PCSP,4/6/19,121,111,-0.2,0.28,0.26,,-123.40,-120.07,-16.32,-15.80,7.17,6.29
PCSP,4/6/19,111,101,-3.5,0.295,0.278,,-121.41,-112.08,-16.56,-15.38,11.04,10.95
PCSP,4/6/19,101,91,-3,0.311,0.301,,-103.21,-102.35,-14.55,-14.27,13.16,11.81
PCSP,4/6/19,91,81,-2.2,0.332,0.318,,-151.92,-155.80,-20.35,-20.67,10.84,9.59
PCSP,4/6/19,81,71,-1.8,0.34,0.341,,-141.05,-142.07,-19.04,-19.03,11.25,10.18
PCSP,4/6/19,71,61,-1.3,0.345,0.342,,-191.42,-181.33,-24.94,-23.62,8.06,7.61
PCSP,4/6/19,61,51,-1.1,0.34,0.363,,-158.22,-169.67,-21.22,-22.44,11.57,9.82
PCSP,4/6/19,51,41,-1.1,0.314,0.317,,-175.42,-166.79,-23.21,-21.97,10.26,8.98
PCSP,4/6/19,41,31,-1,0.305,0.314,,-180.14,-183.28,-24.11,-24.31,12.73,11.17
PCSP,4/6/19,31,21,-1,0.28,0.275,,-149.52,-152.42,-20.23,-20.58,12.35,12.21
PCSP,4/6/19,21,11,-0.2,0.268,0.263,,-136.36,-136.84,-18.29,-18.60,9.95,11.97
PCSP,4/6/19,11,1,-0.2,0.268,0.263,,-136.36,-136.84,-18.29,-18.60,9.95,11.97
PCSP,4/6/19,1,0,0,,,,,,,,,
MCSP,4/6/19,115,105,,0.351,0.362,,-109.50,-108.45,-14.93,-14.92,9.96,10.91
MCSP,4/6/19,105,95,,0.405,0.371,,-108.47,-104.76,-14.88,-14.55,10.54,11.66
MCSP,4/6/19,95,85,,0.35,0.384,,-157.46,-149.50,-20.95,-20.06,10.16,10.96
MCSP,4/6/19,85,75,,0.38,0.4,,-154.95,-151.32,-20.77,-20.39,11.22,11.78
MCSP,4/6/19,75,65,,0.349,0.352,,-187.47,-187.79,-24.53,-24.55,8.77,8.62
MCSP,4/6/19,65,55,,0.442,0.437,,-174.59,-176.54,-23.18,-23.15,10.84,8.69
MCSP,4/6/19,55,45,,0.335,0.331,,-185.62,-178.10,-24.54,-23.48,10.73,9.72
MCSP,4/6/19,45,35,,0.304,0.304,,-186.13,-191.33,-25.03,-25.67,14.13,14.07
MCSP,4/6/19,35,25,,0.304,0.303,,-148.47,-171.03,-18.15,-23.27,-3.28,15.13
MCSP,4/6/19,25,15,,0.291,0.271,,-147.29,-146.47,-19.88,-19.71,11.72,11.18
MCSP,4/6/19,15,5,,0.271,0.281,,-128.55,-129.61,-17.20,-17.27,9.05,8.57
MCSP,4/6/19,5,0,,0.271,0.281,,,,,,,
LSASP,4/8/19,185,175,2,0.42,0.372,,-139.22,-132.19,-18.48,-17.58,8.62,8.42
LSASP,4/8/19,175,165,1,0.373,0.424,,-106.52,-101.45,-15.08,-14.52,14.09,14.70
LSASP,4/8/19,165,155,0,0.382,0.388,,-121.72,-90.71,-16.91,-13.24,13.59,15.20
LSASP,4/8/19,155,145,0,0.365,0.446,,-116.00,-98.33,-16.24,-14.11,13.90,14.52
LSASP,4/8/19,145,135,0,0.383,0.347,,-159.42,-155.51,-21.46,-21.07,12.26,13.02
LSASP,4/8/19,135,125,0,0.349,0.36,,-124.58,-129.14,-17.21,-18.04,13.09,15.18
