16S ID,Percent Relative Abundance,Taxonomy
EF219370.GrfToluo,0.37,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Georgfuchsia;
RBG_19FT_COMBO_Betaproteobacteria_58_11_curated,0.36,"RBG_16_Betaproteobacteria_58_11_curated, Hydrogenophilales, Betaproteobacteria, Proteobacteria, Bacteria"
AJ318917.DecDenit,0.34,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas;
AY328580.Unc02v37,0.34,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;
AY771949.UncD1776,0.34,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfocapsa;
RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated,0.33,RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated
AB012916.BurGla13,0.33,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
AY631269.NrvSpec2,0.33,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;
AY548934.Unc01zkw,0.32,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Denitratisoma;
AY123802.NspSpe36,0.31,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;
AY123811.NsmSpe21,0.31,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas;
D14254.ZooRami6,0.31,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Zoogloea;
AY532566.Unc02x7k,0.28,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sulfuritalea;
DQ811792.UncD2684,0.28,Bacteria;Proteobacteria;Deltaproteobacteria;SAR324_clade(Marine_group_B);
AB176695.UncuBe38,0.27,Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Thiobacillus;
AJ505863.HerSpe34,0.27,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
Y17601.PpvDicar,0.26,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;
AB179513.UncB1677,0.26,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;
AJ867897.Unc022cy,0.26,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;P3OB-42;
GWA2_Nitrospirae_42_11_curated,0.26,GWA2_Nitrospirae_42_11_curated
RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated,0.25,RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated
AY062126.Uncu2289,0.24,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas;
GWB1_OD1_35_20,0.24,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
AY328580.Unc02v37,0.24,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;
RIFCSPHIGHO2_02_FULL_Sulfuricurvum_43_9_curated,0.23,"RIFCSPLOWO2_12_FULL_Sulfuricurvum_43_24_curated, Campylobacterales, Epsilonproteobacteria, Proteobacteria, Bacteria"
GWA2_Polynucleobacter_45_21_curated,0.23,GWA2_Polynucleobacter_45_21_curated
AF072920.Unc00rj2,0.23,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sulfuritalea;
AF236004.BetPro95,0.22,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;
AY123794.NsmSpe22,0.21,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas;
DI081119.Unide459,0.21,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;
DQ256728.ChmKoree,0.20,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Chitinimonas;
DQ415775.Unc03xf8,0.20,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfocapsa;
GWA2_Polynucleobacter_45_21_curated,0.20,GWA2_Polynucleobacter_45_21_curated
RIFCSPHIGHO2_02_OD1_Nomurabacteria_40_30_curated,0.20,"Parcubacteria, Bacteria"
DQ404844.Unc03sbf,0.20,Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Syntrophus;
RBG_19FT_COMBO_Betaproteobacteria_58_11_curated,0.19,"RBG_16_Betaproteobacteria_58_11_curated, Hydrogenophilales, Betaproteobacteria, Proteobacteria, Bacteria"
AM404380.UncD1444,0.19,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
RBG_19FT_COMBO_Betaproteobacteria_58_11_curated,0.19,"RBG_16_Betaproteobacteria_58_11_curated, Hydrogenophilales, Betaproteobacteria, Proteobacteria, Bacteria"
AF204251.Uncu1439,0.19,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;
AJ565421.BetPr109,0.19,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;MWH-UniP1_aquatic_group;
EU625664.HdhIslan,0.18,Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Hydrogenophilus;
AY328580.Unc02v37,0.18,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;
RIFCSPLOWO2_02_Deltaproteobacteria_56_12_curated,0.18,"Deltaproteobacteria, Proteobacteria, Bacteria"
AM404380.UncD1444,0.18,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
AF243334.DrgConse,0.17,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulforegula;
JF728876.PdgGefce,0.17,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Pseudogulbenkiania;
EF219370.GrfToluo,0.17,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Georgfuchsia;
GWA2_Rokubacteria_70_23_curated,0.17,GWA2_Rokubacteria_70_23_curated
AB469786.OxaHorti,0.16,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalicibacterium;
GWB1_OD1_35_20,0.16,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
BD356900.RccTenu2,0.16,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Rhodocyclus;
AM397080.DeeRivul,0.16,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Deefgea;
AY123791.NspSpe32,0.16,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;
GWA2_Polynucleobacter_45_21_curated,0.16,GWA2_Polynucleobacter_45_21_curated
RBG_19FT_COMBO_Nitrospirae_58_9_curated,0.16,RBG_19FT_COMBO_Nitrospirae_58_9_curated
AF445699.Uncu2464,0.15,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Tepidimonas;
D14257.ZooRami8,0.15,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Zoogloea;
AY118150.UncuB584,0.15,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Denitratisoma;
RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated,0.15,RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated
AY123796.NspSpe33,0.15,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;
AY328580.Unc02v37,0.14,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;
AB120966.CrvFont2,0.14,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pseudorhodoferax;
AY622239.Uncu2579,0.14,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
AY221081.Unc01g0z,0.14,Bacteria;Proteobacteria;Betaproteobacteria;TRA3-20;
AY234571.BcmEll15,0.14,Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;
AF293002.UncGree4,0.14,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;
AB076000.AqsPutri,0.13,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Aquaspirillum;
GWA2_Polynucleobacter_45_21_curated,0.13,GWA2_Polynucleobacter_45_21_curated
L33694.AzoTolul,0.13,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azoarcus;
GWB1_OD1_35_20,0.13,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
AY328708.Unc02nhl,0.13,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillales_Incertae_Sedis;Reyranella;
AF287297.NscMobi2,0.12,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas;
AF328154.CncStee5,0.12,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Conchiformibius;
AM489502.BurMegap,0.12,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
AF523008.UncAqua7,0.12,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium;
AB186833.UncB2062,0.12,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;
AB024934.SpsSp130,0.12,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Uliginosibacterium;
GWD1_OD1_44_10_partial,0.12,"GWA1_OD1_44_13, Parcubacteria, Bacteria organism_desc=Partial"
AB179496.UncB1799,0.12,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;
RIFCSPHIGHO2_02_OD1_Azambacteria_i_46_12_curated,0.12,"RIFCSPLOWO2_01_FULL_OD1_46_26_curated, Microgenomates, Bacteria"
AY027801.I1PAmino,0.12,Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylobacillus;
AY212629.Unc72431,0.12,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sulfuritalea;
AY123787.NspSpe30,0.11,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;
JN657219.HerMassi,0.11,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;
D16212.RhfFerm2,0.11,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;
AJ237602.DsbCatec,0.11,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;
JQ414031.DisTherm,0.11,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Dissulfuribacter;
AB015552.UncBac28,0.11,Bacteria;Planctomycetes;Planctomycetacia;Brocadiales;Brocadiaceae;Candidatus_Scalindua;
DI081119.Unide459,0.11,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;
RBG_19FT_COMBO_Betaproteobacteria_58_11_curated,0.11,"RBG_16_Betaproteobacteria_58_11_curated, Hydrogenophilales, Betaproteobacteria, Proteobacteria, Bacteria"
AY436789.MplSpeci,0.11,Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylophilus;
AF507693.UncuS587,0.11,Bacteria;Chloroflexi;S085;
AF357199.SufSpec6,0.11,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Sulfurospirillum;
U58019.TblAquae,0.11,Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Thiobacillus;
AY171616.Dh0Spec5,0.11,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;
AF420340.UncP1387,0.10,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;
AJ440986.An7Bac34,0.10,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Albidiferax;
DQ811792.UncD2684,0.10,Bacteria;Proteobacteria;Deltaproteobacteria;SAR324_clade(Marine_group_B);
GWB1_OD1_35_20,0.10,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
GWA2_Polynucleobacter_45_21_curated,0.10,GWA2_Polynucleobacter_45_21_curated
DQ833468.Unc033qd,0.10,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
AF236009.BetPro92,0.10,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Inhella;
DQ811792.UncD2684,0.09,Bacteria;Proteobacteria;Deltaproteobacteria;SAR324_clade(Marine_group_B);
AF280846.Unc41853,0.09,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;
GWA2_Nitrospirae_42_11_curated,0.09,GWA2_Nitrospirae_42_11_curated
AY493916.Uncu2668,0.09,Bacteria;Proteobacteria;Deltaproteobacteria;GR-WP33-30;
GWF2_Nitrospirae_44_13_curated,0.09,GWF2_Nitrospirae_44_13_curated
FJ654663.NssWads2,0.09,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;
AB240361.UncB3950,0.09,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;
EU335443.Unc40014,0.09,Bacteria;Candidate_division_OP3;
DQ415841.Unc02ruq,0.09,Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Syntrophus;
JF799985.MasNamuc,0.09,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
AY622272.UncuB614,0.09,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;
AF445689.Uncu1500,0.08,Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Hydrogenophilus;
DQ811792.UncD2684,0.08,Bacteria;Proteobacteria;Deltaproteobacteria;SAR324_clade(Marine_group_B);
AB567741.AdvFaeci,0.08,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Advenella;
AY212629.Unc72431,0.08,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sulfuritalea;
RIFCSPLOWO2_02_FULL_OD1_Sungbacteria_54_10_curated,0.08,"RIFCSPHIGHO2_02_FULL_RIF_OD1_13_53_17_curated, RIF-OD1-13, Parcubacteria, Bacteria"
RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated,0.08,RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated
DQ833468.Unc033qd,0.08,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
AB234257.UncB3011,0.08,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfocapsa;
AY328580.Unc02v37,0.08,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;
AB166668.LphSpe27,0.08,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix;
AB179512.UncB1706,0.08,Bacteria;Proteobacteria;Betaproteobacteria;TRA3-20;
DQ521800.Unc00493,0.08,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;
KF948515.ChmSpeci,0.08,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Chitinimonas;
RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated,0.08,RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated
AY328580.Unc02v37,0.08,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;
GWB1_OD1_35_20,0.08,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
AY221080.Unc02tii,0.08,Bacteria;Proteobacteria;Betaproteobacteria;SC-I-84;
AM404380.UncD1444,0.08,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
BD410133.Unide290,0.08,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas;
AB186831.UncB2002,0.07,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Denitratisoma;
GWA2_Polynucleobacter_45_21_curated,0.07,GWA2_Polynucleobacter_45_21_curated
AY625137.Unc02ver,0.07,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter;
RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated,0.07,RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated
AY780557.UncGeo66,0.07,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;
RIFCSPLOWO2_02_FULL_Deltaproteobacteria_57_26_curated,0.07,"RIFCSPLOWO2_12_FULL_Deltaproteobacteria_57_22_curated, Deltaproteobacteria, Proteobacteria, Bacteria"
AY684260.NspSpec9,0.07,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;
AY622239.Uncu2579,0.07,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
AY328580.Unc02v37,0.07,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;
AB842427.SfsSedim,0.07,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sulfuritalea;
AB669272.AaoBacte,0.07,Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Thermomarinilinea;
AY212697.Unc02pix,0.07,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;
AY218649.Unc01g00,0.07,Bacteria;Chloroflexi;KD4-96;
HM750216.DfsAlkal,0.07,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
AJ315677.ThuAmino,0.07,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Thauera;
DQ463737.UncD2400,0.07,Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfobacca;
GWB1_OD1_35_20,0.07,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
GWB1_OD1_35_20,0.07,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
AY622239.Uncu2579,0.07,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
AJ278450.BorPara5,0.07,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;
Y10110.MgtMagne,0.07,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum;
EF575565.RheiSoli,0.07,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Rheinheimera;
AF507703.Uncu2637,0.06,Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;
FM179871.UncDe110,0.06,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;SEEP-SRB2;
AJ290018.Unc00tz5,0.06,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;GKS98_freshwater_group;
AY212698.Unc72474,0.06,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;
GWB2_Deltaproteobacteria_55_19_curated,0.06,GWB2_Deltaproteobacteria_55_19_curated
U58019.TblAquae,0.06,Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Thiobacillus;
AB179513.UncB1677,0.06,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;
AJ251634.CddGlom4,0.06,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Candidatus_Glomeribacter;
AB015536.UncBac26,0.06,Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;
GWB1_OD1_35_20,0.06,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
DQ394901.UncDe830,0.06,Bacteria;Proteobacteria;Deltaproteobacteria;SAR324_clade(Marine_group_B);
AJ290018.Unc00tz5,0.06,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;GKS98_freshwater_group;
AJ318113.Uncu2732,0.06,Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;
RBG_19FT_COMBO_Syntrophobacterales_59_10_curated,0.06,RBG_19FT_COMBO_Syntrophobacterales_59_10_curated
AF507683.Uncu2701,0.06,Bacteria;Parcubacteria;
DI081119.Unide459,0.06,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;
AY328580.Unc02v37,0.06,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;
AB186833.UncB2062,0.06,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;
DQ833468.Unc033qd,0.06,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
GWB1_OD1_35_20,0.06,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
EF016361.RalSolan,0.06,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;
GWB1_OD1_35_20,0.06,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
DQ833468.Unc033qd,0.06,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
