ï»¿Contact_Name,Contact_Email,Contact_Affiliation,Metadata_Provider_Name,Location_ID,Location_Name,Location_Alias,Location_Activity,Location_Category,Measurement_Categories,Years_Data_Collected,Research_Theme,Description,Geographic_Region,Parent_Location_ID,Latitude,Longitude,Lat_Long_Measurement_Method,Topographical_Elevation,Topo_Elev_Measurement_Method,Depth_Profile_Elevations,Instrumentation,Variables_Measured,Related_Reference,Location_Metadata_Version
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-GLS1,Gothic Lower Subalpine,GLS,Groundwater Monitoring Well,SFA Satellite Site,Hydrogeology; Biogeochemistry,2020-Present (as of Dec 2020),Solute composition of deep groundwater,Data used to constrain temporal variations in geochemical composition of deep groundwater within the Mancos Shale. Well depth is 200-ft with the production zone unknown.,GT,ER,38.977580,-107.002117,Trimble GPS,2925.04,LIDAR,N/A,Deep groundwater monitoring well,Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Dissolved Total Nitrogen (DTN); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-GUM1,Gothic Upper Montane-1,GUM,Groundwater Monitoring Well,SFA Satellite Site,Hydrogeology; Biogeochemistry,2020-Present (as of Dec 2020),Solute composition of deep groundwater,Data used to constrain temporal variations in geochemical composition of deep groundwater within the Mancos Shale. Well depth is 200-ft with the production zone unknown.,GT,ER,38.955049,-106.992390,Trimble GPS,2894.54,LIDAR,N/A,Deep groundwater monitoring well,Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Dissolved Total Nitrogen (DTN); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,CC-IRW1,Irwin Well,Irwin,Groundwater Monitoring Well,SFA Satellite Site,Hydrogeology; Biogeochemistry,2019-Present (as of Dec 2020),Solute composition of deep groundwater,Data used to constrain temporal variations in geochemical composition of deep groundwater within the Mancos Shale. Well depth is 200-ft with the production zone unknown.,ERC,ER,38.875618,-107.099899,Trimble GPS,3141.92,USGS DEM,N/A,Deep groundwater monitoring well,Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Dissolved Total Nitrogen (DTN); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-INY1,Inouye Well,Inouye,Groundwater Monitoring Well,SFA Satellite Site,Hydrogeology; Biogeochemistry,2015-Present (as of Dec 2020),Solute composition of deep groundwater,Data used to constrain temporal variations in geochemical composition of deep groundwater within the Mancos Shale. Well depth is 200-ft with the production zone unknown.,ERC,ER,38.955169,-106.986828,Trimble GPS,2905.13,LIDAR,N/A,Deep groundwater monitoring well,Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Total Iron (Fe); Calcium (Ca); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Arsenic (As); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Total Phosphorous (P); Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Water - Deuterium (dD); Water - d18O; Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-RBL1,RMBL Well,RMBL,Groundwater Monitoring Well,SFA Satellite Site,Biogeochemistry,2015-2019,Solute composition of deep groundwater,Data used to constrain temporal variations in geochemical composition of deep groundwater within a confined layer sandstone interbed aquifer of the Mancos Shale. Well depth is 200 ft with the production zone from 160 to 200-ft. Samples for geochemical analysis are collected at ground surface due to artesian flow from the aquifer.,ERC,ER,38.958793,-106.989681,Trimble GPS,2889.89,LIDAR,N/A,Deep groundwater monitoring well,Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Total Iron (Fe); Calcium (Ca); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Arsenic (As); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Total Phosphorous (P); Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Water - Deuterium (dD); Water - d18O; Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-RCK1,Rock Creek,Rock,Groundwater Monitoring Well,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-Present (as of Dec 2020),Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Rating curved approach applied to pressure transducer data.,ERC,ER,38.981668,-107.005589,Trimble GPS,2933.69,LIDAR,N/A,"Stream sampling location, Discharge transducer",Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P); Dissolved Total Nitrogen (DTN),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-RUS1,Rustlers Gulch,Rustlers,Groundwater Monitoring Well,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-Present (as of Dec 2020),Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Rating curved approach applied to pressure transducer data.,ERC,ER,38.988940,-107.007755,Trimble GPS,2952.39,LIDAR,N/A,"Stream sampling location, Discharge transducer",Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P); Dissolved Total Nitrogen (DTN),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-SHM1,Shumway Well,Shumway,Groundwater Monitoring Well,SFA Satellite Site,Hydrogeology; Biogeochemistry,2016-Present (as of Dec 2020),Variations in groundwater elevation and solute composition,221 ft (well currently not being used for water production; production zone unknown),ERC,ER,38.945406,-106.989520,Trimble GPS,2879.75,LIDAR,N/A,Deep groundwater monitoring well,Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Total Iron (Fe); Calcium (Ca); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Arsenic (As); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Total Phosphorous (P); Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Water - Deuterium (dD); Water - d18O; Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th),N/A,1.0
Matthias Sprenger,msprenger@lbl.gov,LBNL EESA,Matthias Sprenger,SG-SNI1,Snodgrass Borehole 1,Meadow on colluvium,Groundwater Monitoring Well,SFA Intensive,Hydrogeology; Biogeochemistry,Continuing from Oct 2021-Present (as of Jan 2022),Subsurface water and solute inventories and fluxes,"Information needed to quantify water and gas phase flow and transport in the subsurface is being obtained through measurements of profile physical and biogeochemical characteristics, wetting-drying trends, composition of aqueous and gas phases",SG,SG,38.926194,-106.979807,Trimble Geo 7X,3145.58,LiDAR,"-1.5m(PW,PG,T,matric), -3m(PW,PG,T,matric), -6.1m(PW,PG,T,matric), -12.6m(PW,PG,T,matric, piezometer), -18.6m(PW), -29.6m(PW, piezometer)","Borehole with Gas Samplers, Water Samplers,Soil Matric Potential Sensors, thermistors, piezometer",Pore water temperature; matric potentials; water levels; pore water chemical composition; pore gas composition,N/A,2.2
Matthias Sprenger,msprenger@lbl.gov,LBNL EESA,Matthias Sprenger,SG-SNI2,Snodgrass Borehole 2,Conifers on colluvium,Groundwater Monitoring Well,SFA Intensive,Hydrogeology; Biogeochemistry,Continuing from Oct 2021-Present (as of Jan 2022),Subsurface water and solute inventories and fluxes,"Information needed to quantify water and gas phase flow and transport in the subsurface is being obtained through measurements of profile physical and biogeochemical characteristics, wetting-drying trends, composition of aqueous and gas phases",SG,SG,38.925777,-106.976645,Trimble Geo 7X,3123.97,LiDAR,"-1.5m(PW,PG,T,matric), -3m(PW,PG,T,matric), -6.1m(PW,PG,T,matric), -15.5m(PW,PG,T,matric, piezometer), -19.2m(PW), -29.9m(PW, piezometer)","Borehole with Gas Samplers, Water Samplers,Soil Matric Potential Sensors, thermistors, piezometer",Pore water temperature; matric potentials; water levels; pore water chemical composition; pore gas composition,N/A,2.2
Matthias Sprenger,msprenger@lbl.gov,LBNL EESA,Matthias Sprenger,SG-SNI3,Snodgrass Borehole 3,Aspen on Shale,Groundwater Monitoring Well,SFA Intensive,Hydrogeology; Biogeochemistry,Continuing from Oct 2021-Present (as of Jan 2022),Subsurface water and solute inventories and fluxes,"Information needed to quantify water and gas phase flow and transport in the subsurface is being obtained through measurements of profile physical and biogeochemical characteristics, wetting-drying trends, composition of aqueous and gas phases",SG,SG,38.925528,-106.970908,Trimble Geo 7X,3021.25,LiDAR,"-1.5m(PW,PG,T,matric), -3m(PW,PG,T,matric), -4.6m(PW,PG,T,matric), -8.2m(PW,PG,T,matric, piezometer), -10.7m(PW), -28.7m(PW, piezometer)","Borehole with Gas Samplers, Water Samplers,Soil Matric Potential Sensors, thermistors, piezometer",Pore water temperature; matric potentials; water levels; pore water chemical composition; pore gas composition,N/A,2.2
Matthias Sprenger,msprenger@lbl.gov,LBNL EESA,Matthias Sprenger,SG-SNI4,Snodgrass Borehole 4,Snodgrass Summit,Groundwater Monitoring Well,SFA Intensive,Hydrogeology; Biogeochemistry,Continuing from Oct 2021-Present (as of Jan 2022),Subsurface water and solute inventories and fluxes,"Information needed to quantify water and gas phase flow and transport in the subsurface is being obtained through measurements of profile physical and biogeochemical characteristics, wetting-drying trends, composition of aqueous and gas phases",SG,SG,38.932336,-106.986106,Trimble Geo 7X,3358.96,LiDAR,"-1.3m(PW,PG,T,matric), -4.9m(PW,PG,T,matric), -7.5m(PW,PG,T,matric), -12.8m(PW), -46m(PW), -80.2m(PW)","Borehole with Gas Samplers, Water Samplers,Soil Matric Potential Sensors, thermistors",Pore water temperature; matric potentials; pore water chemical composition; pore gas composition,N/A,2.2
